Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"267,981,000","260,174,000","265,595,000","229,234,000","215,639,000"
Cost of Revenue,"165,854,000","161,782,000","163,756,000","141,048,000","131,376,000"
Gross Profit,"102,127,000","98,392,000","101,839,000","88,186,000","84,263,000"
Operating Expense,"36,536,000","34,462,000","30,941,000","26,842,000","24,239,000"
Operating Income,"65,591,000","63,930,000","70,898,000","61,344,000","60,024,000"
Net Non Operating Interest Income Expense,"1,172,000","1,385,000","2,446,000","2,878,000","2,543,000"
Other Income Expense,"328,000","422,000","-441,000","-133,000","-1,195,000"
Pretax Income,"67,091,000","65,737,000","72,903,000","64,089,000","61,372,000"
Tax Provision,"9,876,000","10,481,000","13,372,000","15,738,000","15,685,000"
Net Income Common Stockholders,"57,215,000","55,256,000","59,531,000","48,351,000","45,687,000"
Diluted NI Available to Com Stockholders,"57,215,000","55,256,000","59,531,000","48,351,000","45,687,000"
Basic EPS,-,0.012,0.012,0.0093,0.0084
Diluted EPS,-,0.0119,0.0119,0.0092,0.0083
Basic Average Shares,-,"4,617,834","4,955,377","5,217,242","5,470,820"
Diluted Average Shares,-,"4,648,913","5,000,109","5,251,692","5,500,281"
Total Operating Income as Reported,"65,591,000","63,930,000","70,898,000","61,344,000","60,024,000"
Total Expenses,"202,390,000","196,244,000","194,697,000","167,890,000","155,615,000"
Net Income from Continuing & Discontinued Operation,"57,215,000","55,256,000","59,531,000","48,351,000","45,687,000"
Normalized Income,"57,215,000","55,256,000","59,531,000","48,351,000","45,687,000"
Interest Income,"4,390,000","4,961,000","5,686,000","5,201,000","3,999,000"
Interest Expense,"3,218,000","3,576,000","3,240,000","2,323,000","1,456,000"
Net Interest Income,"1,172,000","1,385,000","2,446,000","2,878,000","2,543,000"
EBIT,"70,309,000","69,313,000","76,143,000","66,412,000","62,828,000"
EBITDA,"82,023,000",-,-,-,-
Reconciled Cost of Revenue,"165,854,000","161,782,000","163,756,000","141,048,000","131,376,000"
Reconciled Depreciation,"11,714,000","12,547,000","10,903,000","10,157,000","10,505,000"
Net Income from Continuing Operation Net Minority Interest,"57,215,000","55,256,000","59,531,000","48,351,000","45,687,000"
Normalized EBITDA,"82,023,000","81,860,000","87,046,000","76,569,000","73,333,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
