Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"186,159,448","179,589,121","167,939,635","153,143,826","146,849,686"
Cost of Revenue,"181,124,151","174,450,809","163,327,318","148,597,824","142,577,080"
Gross Profit,"5,035,297","5,138,312","4,612,317","4,546,002","4,272,606"
Operating Expense,"3,172,704","3,125,915","2,925,428","2,526,333","2,455,972"
Operating Income,"1,862,593","2,012,397","1,686,889","2,019,669","1,816,634"
Net Non Operating Interest Income Expense,"-137,752","-157,769","-174,699","-145,185","-139,912"
Other Income Expense,"-703,284","-887,522","-334,767","-956,597","-285,812"
Pretax Income,"1,021,557","967,106","1,177,423","917,887","1,390,910"
Tax Provision,"-570,431","112,971","-438,469","553,403","-37,019"
Net Income Common Stockholders,"1,582,495","855,365","1,658,405","364,484","1,427,929"
Diluted NI Available to Com Stockholders,"1,582,495","855,365","1,658,405","364,484","1,427,929"
Basic EPS,-,0.0041,0.0076,0.0019,0.0067
Diluted EPS,-,0.004,0.0075,0.0019,0.0063
Basic Average Shares,-,"210,165","217,872","218,375","212,206"
Diluted Average Shares,-,"211,840","220,336","221,602","225,959"
Total Operating Income as Reported,"1,159,487","1,111,923","1,443,685","1,060,342","1,525,774"
Total Expenses,"184,296,855","177,576,724","166,252,746","151,124,157","145,033,052"
Net Income from Continuing & Discontinued Operation,"1,582,495","855,365","1,658,405","364,484","1,427,929"
Normalized Income,"2,095,762","1,650,484","1,853,293","940,080","1,602,445"
Interest Income,"42,188","37,705","14,941","3,857","4,437"
Interest Expense,"179,940","195,474","189,640","149,042","144,349"
Net Interest Income,"-137,752","-157,769","-174,699","-145,185","-139,912"
EBIT,"1,201,497","1,162,580","1,367,063","1,066,929","1,535,259"
EBITDA,"1,637,348",-,-,-,-
Reconciled Cost of Revenue,"181,102,751","174,415,704","163,282,336","148,563,096","142,549,649"
Reconciled Depreciation,"435,851","497,512","510,109","432,331","392,166"
Net Income from Continuing Operation Net Minority Interest,"1,582,495","855,365","1,658,405","364,484","1,427,929"
Total Unusual Items Excluding Goodwill,"-703,106","-900,474","-266,970","-959,327","-290,860"
Total Unusual Items,"-703,106","-900,474","-266,970","-959,327","-290,860"
Normalized EBITDA,"2,340,454","2,560,566","2,144,142","2,458,587","2,218,285"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-189,839","-105,355","-72,082","-383,731","-116,344"
