Breakdown,ttm,3/31/2020,3/31/2019,3/31/2018,3/31/2017
Total Revenue,"840,883","840,883","769,432","593,749","445,304"
Cost of Revenue,"151,305","151,305","129,567","98,581","70,627"
Gross Profit,"689,578","689,578","639,865","495,168","374,677"
Operating Expense,"440,359","440,359","415,053","338,031","284,539"
Operating Income,"249,219","249,219","224,812","157,137","90,138"
Other Income Expense,"7,606","7,606","38,548","3,300","1,205"
Pretax Income,"256,825","256,825","263,360","160,437","91,343"
Tax Provision,"53,816","53,816","4,344","48,267","39,227"
Net Income Common Stockholders,"203,009","203,009","259,016","112,170","52,116"
Diluted NI Available to Com Stockholders,"203,009","203,009","259,016","112,170","52,116"
Basic EPS,-,0.0045,0.0058,0.0025,0.0012
Diluted EPS,-,0.0044,0.0056,0.0025,0.0012
Basic Average Shares,-,"45,179","44,911","44,153","43,238"
Diluted Average Shares,-,"45,816","46,151","45,849","44,658"
Total Operating Income as Reported,"249,219","249,219","224,812","157,137","90,138"
Total Expenses,"591,664","591,664","544,620","436,612","355,166"
Net Income from Continuing & Discontinued Operation,"203,009","203,009","259,016","112,170","52,116"
Normalized Income,"193,397","193,397","250,981","109,592","51,184"
EBIT,"249,219","249,219","224,812","157,137","90,138"
EBITDA,"269,649",-,-,-,-
Reconciled Cost of Revenue,"151,305","151,305","129,567","98,581","70,627"
Reconciled Depreciation,"20,430","20,430","14,121","11,005","6,202"
Net Income from Continuing Operation Net Minority Interest,"203,009","203,009","259,016","112,170","52,116"
Total Unusual Items Excluding Goodwill,"12,167","12,167","8,166","3,688","1,554"
Total Unusual Items,"12,167","12,167","8,166","3,688","1,554"
Normalized EBITDA,"257,482","257,482","230,767","164,454","94,786"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"2,555","2,555",130.656,"1,110",621.6
