Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Total Revenue,"44,655,801","43,215,013","41,603,428","36,765,478","34,797,661"
Cost of Revenue,"30,685,957","29,900,325","29,160,515","25,734,986","24,520,234"
Gross Profit,"13,969,844","13,314,688","12,442,913","11,030,492","10,277,427"
Operating Expense,"7,424,200","7,009,614","6,601,872","6,397,883","5,466,982"
Operating Income,"6,545,644","6,305,074","5,841,041","4,632,609","4,810,445"
Net Non Operating Interest Income Expense,"70,721","64,545","36,798","22,395","14,226"
Other Income Expense,"-41,103","-117,822","-69,746","-38,972","778,901"
Pretax Income,"6,575,262","6,251,797","5,808,093","4,616,032","5,603,572"
Tax Provision,"1,533,815","1,405,556","1,593,499","981,100","1,253,969"
Net Income Common Stockholders,"4,971,651","4,779,112","4,059,907","3,445,149","4,111,892"
Average Dilution Earnings,"6,430","6,694","95,063","149,131","195,560"
Diluted NI Available to Com Stockholders,"4,978,081","4,785,806","4,154,970","3,594,280","4,307,452"
Basic EPS,-,0.0075,0.0065,0.0056,0.0066
Diluted EPS,-,0.0074,0.0063,0.0054,0.0065
Basic Average Shares,-,"638,098","628,452","620,104","624,798"
Diluted Average Shares,-,"650,205","655,296","660,463","667,770"
Total Operating Income as Reported,"6,545,644","6,305,074","5,841,041","4,632,609","4,810,445"
Total Expenses,"38,110,157","36,909,939","35,762,387","32,132,869","29,987,216"
Net Income from Continuing & Discontinued Operation,"4,971,651","4,779,112","4,059,907","3,445,149","4,111,892"
Normalized Income,"4,971,651","4,779,112","4,059,907","3,445,347","3,453,205"
Interest Income,"97,601","87,508","56,337","37,940","30,484"
Interest Expense,"26,880","22,963","19,539","15,545","16,258"
Net Interest Income,"70,721","64,545","36,798","22,395","14,226"
EBIT,"6,602,142","6,274,760","5,827,632","4,631,577","5,619,830"
EBITDA,"7,905,193",-,-,-,-
Reconciled Cost of Revenue,"30,685,957","29,900,325","29,160,515","25,734,986","24,520,234"
Reconciled Depreciation,"1,303,051","892,760","926,776","801,789","729,052"
Net Income from Continuing Operation Net Minority Interest,"4,678,209","4,779,112","4,059,907","3,445,149","4,111,892"
Total Unusual Items Excluding Goodwill,-,0,0,-252,"848,823"
Total Unusual Items,-,0,0,-252,"848,823"
Normalized EBITDA,"7,905,193","7,167,520","6,754,408","5,433,618","5,500,059"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,-53.676,"190,136"
