Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Revenue,"5,543,987","5,991,065","6,200,942","5,107,503","3,421,409"
Cost of Revenue,"1,909,169","1,977,315","1,967,640","2,045,907","1,194,236"
Gross Profit,"3,634,818","4,013,750","4,233,302","3,061,596","2,227,173"
Operating Expense,"2,154,112","2,207,483","2,290,249","1,956,999","1,185,377"
Operating Income,"1,480,706","1,806,267","1,943,053","1,104,597","1,041,796"
Net Non Operating Interest Income Expense,"-201,557","-218,846","-244,206","-220,507","-67,536"
Other Income Expense,"-80,486","-101,693","-60,330","-55,605","-17,339"
Pretax Income,"1,198,663","1,485,728","1,638,517","828,485","956,921"
Tax Provision,"87,025","122,717","143,085","101,226","95,257"
Net Income Common Stockholders,"1,110,341","1,359,782","1,489,523","725,016","861,664"
Diluted NI Available to Com Stockholders,"1,110,341","1,359,782","1,489,523","725,016","861,664"
Basic EPS,-,0.0037,0.004,0.0021,0.0028
Diluted EPS,-,0.0037,0.004,0.0021,0.0028
Basic Average Shares,-,"369,133","370,430","346,371","308,736"
Diluted Average Shares,-,"372,871","374,938","350,484","312,308"
Total Operating Income as Reported,"1,402,535","1,710,608","1,881,735","1,055,134","1,028,112"
Total Expenses,"4,063,281","4,184,798","4,257,889","4,002,906","2,379,613"
Net Income from Continuing & Discontinued Operation,"1,111,638","1,363,011","1,495,432","727,259","861,664"
Normalized Income,"1,184,134","1,450,730","1,551,415","770,688","873,980"
Interest Income,"7,887","10,229","9,383","30,333","21,221"
Interest Expense,"209,444","229,075","253,589","250,840","88,757"
Net Interest Income,"-201,557","-218,846","-244,206","-220,507","-67,536"
EBIT,"1,408,107","1,714,803","1,892,106","1,079,325","1,045,678"
EBITDA,"2,224,642",-,-,-,-
Reconciled Cost of Revenue,"1,521,461","1,595,105","1,597,479","1,759,199","1,054,569"
Reconciled Depreciation,"816,535","811,251","799,063","584,059","209,790"
Net Income from Continuing Operation Net Minority Interest,"1,111,638","1,363,011","1,495,432","727,259","861,664"
Total Unusual Items Excluding Goodwill,"-78,171","-95,659","-61,318","-49,463","-13,684"
Total Unusual Items,"-78,171","-95,659","-61,318","-49,463","-13,684"
Normalized EBITDA,"2,302,813","2,621,713","2,752,487","1,712,847","1,269,152"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-5,675","-7,940","-5,335","-6,034","-1,368"
