Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"64,322,000","64,656,000","64,341,000","60,828,000","62,346,000"
Cost of Revenue,"60,152,000","60,509,000","60,160,000","57,322,000","58,662,000"
Gross Profit,"4,170,000","4,147,000","4,181,000","3,506,000","3,684,000"
Operating Expense,"2,498,000","2,493,000","2,165,000","1,993,000","2,045,000"
Operating Income,"1,672,000","1,654,000","2,016,000","1,513,000","1,639,000"
Net Non Operating Interest Income Expense,"-201,000","-210,000","-202,000","-224,000","-201,000"
Other Income Expense,"177,000","144,000","246,000","320,000","384,000"
Pretax Income,"1,648,000","1,588,000","2,060,000","1,609,000","1,822,000"
Tax Provision,"112,000","209,000","245,000","7,000","534,000"
Net Income Common Stockholders,"1,537,000","1,379,000","1,810,000","1,595,000","1,279,000"
Diluted NI Available to Com Stockholders,"1,537,000","1,379,000","1,810,000","1,595,000","1,279,000"
Basic EPS,-,-,0.0032,0.0029,0.0022
Diluted EPS,-,-,0.0032,0.0028,0.0022
Basic Average Shares,-,-,"559,000","557,000","573,000"
Diluted Average Shares,-,-,"567,000","572,000","591,000"
Total Expenses,"62,650,000","63,002,000","62,325,000","59,315,000","60,707,000"
Net Income from Continuing & Discontinued Operation,"1,537,000","1,379,000","1,810,000","1,595,000","1,279,000"
Normalized Income,"1,897,699","1,675,856","1,922,768","1,698,584","1,225,975"
Interest Income,"183,000","192,000","162,000","106,000","92,000"
Interest Expense,"384,000","402,000","364,000","330,000","293,000"
Net Interest Income,"-201,000","-210,000","-202,000","-224,000","-201,000"
EBIT,"2,032,000","1,990,000","2,424,000","1,939,000","2,115,000"
EBITDA,"3,025,000",-,-,-,-
Reconciled Cost of Revenue,"60,152,000","60,509,000","60,160,000","57,322,000","58,662,000"
Reconciled Depreciation,"993,000","993,000","941,000","924,000","900,000"
Net Income from Continuing Operation Net Minority Interest,"1,537,000","1,379,000","1,810,000","1,595,000","1,279,000"
Total Unusual Items Excluding Goodwill,"-387,000","-342,000","-128,000","-104,000","75,000"
Total Unusual Items,"-387,000","-342,000","-128,000","-104,000","75,000"
Normalized EBITDA,"3,412,000","3,325,000","3,493,000","2,967,000","2,940,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-26,301","-45,144","-15,232",-416,"21,975"
