Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"14,757,300","14,175,200","13,325,800","12,379,800","11,667,800"
Cost of Revenue,"8,444,100","8,086,600","7,842,600","7,269,800","6,840,300"
Gross Profit,"6,313,200","6,088,600","5,483,200","5,110,000","4,827,500"
Operating Expense,"3,092,200","3,064,200","2,971,500","2,783,200","2,637,000"
Operating Income,"3,221,000","3,024,400","2,511,700","2,326,800","2,190,500"
Net Non Operating Interest Income Expense,"-29,100","-32,300","-19,200","-3,300","6,200"
Other Income Expense,"92,700","13,500","-321,400","207,600","38,000"
Pretax Income,"3,284,600","3,005,600","2,171,100","2,531,100","2,234,700"
Tax Provision,"754,300","712,800","550,300","797,700","741,300"
Net Income Common Stockholders,"2,530,300","2,292,800","1,620,800","1,733,400","1,492,500"
Diluted NI Available to Com Stockholders,"2,530,300","2,292,800","1,620,800","1,733,400","1,492,500"
Basic EPS,-,0.0053,0.0037,0.0039,0.0033
Diluted EPS,-,0.0052,0.0037,0.0039,0.0033
Basic Average Shares,-,"435,000","440,600","447,800","457,000"
Diluted Average Shares,-,"437,600","443,300","450,300","459,100"
Total Expenses,"11,536,300","11,150,800","10,814,100","10,053,000","9,477,300"
Net Income from Continuing & Discontinued Operation,"2,530,300","2,292,800","1,620,800","1,733,400","1,492,500"
Normalized Income,"2,507,035","2,287,612","1,860,886","1,591,194","1,468,016"
Interest Income,"96,100","97,600","83,500","76,700","62,400"
Interest Expense,"125,200","129,900","102,700","80,000","56,200"
Net Interest Income,"-29,100","-32,300","-19,200","-3,300","6,200"
EBIT,"3,409,800","3,135,500","2,273,800","2,611,100","2,290,900"
EBITDA,"3,874,700",-,-,-,-
Reconciled Cost of Revenue,"8,444,100","8,086,600","7,842,600","7,269,800","6,840,300"
Reconciled Depreciation,"464,900","409,000","377,600","316,100","288,600"
Net Income from Continuing Operation Net Minority Interest,"2,530,300","2,292,800","1,620,800","1,733,400","1,493,400"
Total Unusual Items Excluding Goodwill,"30,200","6,800","-321,400","207,600","38,000"
Total Unusual Items,"30,200","6,800","-321,400","207,600","38,000"
Normalized EBITDA,"3,844,500","3,537,700","2,972,800","2,719,600","2,541,500"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"6,935","1,612","-81,314","65,394","12,616"
