Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Revenue,"3,424,500","3,274,300","2,569,800","2,056,600","2,031,000"
Cost of Revenue,"324,100","324,900","285,900","303,400","341,900"
Gross Profit,"3,100,400","2,949,400","2,283,900","1,753,200","1,689,100"
Operating Expense,"2,651,300","2,605,900","2,267,000","2,168,200","2,108,200"
Operating Income,"449,100","343,500","16,900","-415,000","-419,100"
Net Non Operating Interest Income Expense,"-81,100","-54,000","-52,100","-34,500","-29,700"
Other Income Expense,-,"5,300","-7,500","-107,800","-75,000"
Pretax Income,"376,700","294,800","-42,700","-557,300","-523,800"
Tax Provision,"71,500","80,300","38,100","9,600","58,300"
Net Income Common Stockholders,"305,200","214,500","-80,800","-566,900","-582,100"
Diluted NI Available to Com Stockholders,"305,200","214,500","-80,800","-566,900","-582,100"
Basic EPS,-,0,0,-0.0026,-0.0026
Diluted EPS,-,0,0,-0.0026,-0.0026
Basic Average Shares,-,"219,700","218,900","219,500","222,700"
Diluted Average Shares,-,"222,500","218,900","219,500","222,700"
Total Operating Income as Reported,"448,800","343,000","-25,000","-509,100","-499,600"
Total Expenses,"2,975,400","2,930,800","2,552,900","2,471,600","2,450,100"
Net Income from Continuing & Discontinued Operation,"305,200","214,500","-80,800","-566,900","-582,100"
Normalized Income,"305,443","214,427","-63,061","-483,826","-532,000"
Interest Expense,-,"54,000","52,100","34,500","29,700"
Net Interest Income,"-81,100","-54,000","-52,100","-34,500","-29,700"
EBIT,"457,800","348,800","9,400","-522,800","-494,100"
EBITDA,"582,400",-,-,-,-
Reconciled Cost of Revenue,"238,300","236,500","208,700","215,200","234,500"
Reconciled Depreciation,"124,600","127,300","95,200","108,400","139,200"
Net Income from Continuing Operation Net Minority Interest,"305,200","214,500","-80,800","-566,900","-582,100"
Total Unusual Items Excluding Goodwill,-300,100,"-24,300","-113,800","-83,500"
Total Unusual Items,-300,100,"-24,300","-113,800","-83,500"
Normalized EBITDA,"582,700","476,000","128,900","-300,600","-271,400"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-56.9419,27.2388,"-6,561","-30,726","-33,400"
