Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,013,000","5,910,000","6,291,000","6,177,000","6,076,000"
Cost of Revenue,"3,288,000","3,167,000","3,496,000","3,346,000","3,383,000"
Gross Profit,"2,725,000","2,743,000","2,795,000","2,831,000","2,693,000"
Operating Expense,"1,471,000","1,476,000","1,438,000","1,373,000","1,312,000"
Operating Income,"1,254,000","1,267,000","1,357,000","1,458,000","1,381,000"
Net Non Operating Interest Income Expense,"-356,000","-348,000","-368,000","-357,000","-342,000"
Other Income Expense,"84,000","97,000","69,000","4,000","2,000"
Pretax Income,"982,000","1,016,000","1,058,000","1,105,000","1,041,000"
Tax Provision,"174,000","182,000","237,000","576,000","382,000"
Net Income Common Stockholders,"802,000","828,000","815,000","523,000","653,000"
Diluted NI Available to Com Stockholders,"802,000","828,000","815,000","523,000","653,000"
Basic EPS,-,0.0034,0.0033,0.0022,0.0027
Diluted EPS,-,-,0.0033,0.0021,0.0027
Basic Average Shares,-,-,"243,800","242,600","242,600"
Diluted Average Shares,-,-,"245,800","244,200","243,400"
Total Operating Income as Reported,"1,254,000","1,267,000","1,357,000","1,458,000","1,381,000"
Total Expenses,"4,759,000","4,643,000","4,934,000","4,719,000","4,695,000"
Interest Income,"33,000","33,000","33,000","34,000","40,000"
Interest Expense,"389,000","381,000","401,000","391,000","382,000"
Net Interest Income,"-356,000","-348,000","-368,000","-357,000","-342,000"
Net Income from Continuing & Discontinued Operation,"802,000","828,000","815,000","523,000","653,000"
Normalized Income,"797,886","814,866","812,672","513,400","646,070"
EBIT,"1,371,000","1,397,000","1,459,000","1,496,000","1,423,000"
EBITDA,"2,435,000",-,-,-,-
Reconciled Cost of Revenue,"3,211,000","3,081,000","3,418,000","3,290,000","3,305,000"
Reconciled Depreciation,"1,064,000","1,081,000","1,033,000","952,000","923,000"
Net Income from Continuing Operation Net Minority Interest,"802,000","828,000","815,000","523,000","653,000"
Total Unusual Items Excluding Goodwill,"5,000","16,000","3,000","16,000","11,000"
Total Unusual Items,"5,000","16,000","3,000","16,000","11,000"
Normalized EBITDA,"2,430,000","2,462,000","2,489,000","2,432,000","2,335,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,885.947,"2,866",672.0227,"6,400","4,070"
