Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"15,252,100","15,561,400","16,195,700","15,424,900","16,380,100"
Cost of Revenue,"8,713,600","9,063,700","10,013,100","8,937,100","9,924,900"
Gross Profit,"6,538,500","6,497,700","6,182,600","6,487,800","6,455,200"
Operating Expense,"3,826,600","3,749,000","3,429,300","3,056,600","2,980,300"
Operating Income,"2,711,900","2,748,700","2,753,300","3,431,200","3,474,900"
Net Non Operating Interest Income Expense,"-1,108,800","-1,072,500","-972,800","-879,000","-860,900"
Other Income Expense,"147,800","158,600","193,000","264,000","-2,138,400"
Pretax Income,"1,750,900","1,834,800","1,973,500","2,816,200","475,600"
Tax Provision,"-10,900","-12,900","115,300","969,700","-73,700"
Earnings from Equity Interest Net of Tax,"83,200","72,100","73,100","82,400","71,200"
Net Income Common Stockholders,"1,843,500","1,921,100","1,923,800","1,912,600","610,900"
Diluted NI Available to Com Stockholders,"1,843,500","1,921,100","1,923,800","1,912,600","610,900"
Basic EPS,-,-,0.0039,0.0039,0.0012
Diluted EPS,-,-,0.0039,0.0039,0.0012
Basic Average Shares,-,-,"492,775","491,815","491,495"
Diluted Average Shares,-,-,"493,758","492,611","491,662"
Total Operating Income as Reported,"2,555,500","2,592,300","2,682,700","3,570,500","1,207,100"
Total Expenses,"12,540,200","12,812,700","13,442,400","11,993,700","12,905,200"
Interest Income,-,-,"11,600","16,000","16,300"
Interest Expense,"1,108,800","1,072,500","984,400","895,000","877,200"
Net Interest Income,"-1,108,800","-1,072,500","-972,800","-879,000","-860,900"
Net Income from Continuing & Discontinued Operation,"1,843,500","1,921,100","1,923,800","1,912,600","610,900"
Normalized Income,"1,832,915","1,912,340","1,859,302","1,739,503","1,896,440"
EBIT,"2,859,700","2,907,300","2,957,900","3,711,200","1,352,800"
EBITDA,"5,664,500",-,-,-,-
Reconciled Cost of Revenue,"8,489,700","8,838,100","9,899,300","8,808,000","9,796,300"
Reconciled Depreciation,"2,804,800","2,740,100","2,400,400","2,126,300","2,090,900"
Net Income from Continuing Operation Net Minority Interest,"1,843,500","1,921,100","1,923,800","1,912,600","613,400"
Total Unusual Items Excluding Goodwill,"14,500","12,000","68,500","264,000","-2,138,400"
Total Unusual Items,"14,500","12,000","68,500","264,000","-2,138,400"
Normalized EBITDA,"5,650,000","5,635,400","5,289,800","5,573,500","5,582,100"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"3,915","3,240","4,002","90,903","-855,360"
