Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,877,000","10,189,000","10,736,000","10,530,000","13,586,000"
Cost of Revenue,"7,607,000","7,840,000","8,163,000","8,066,000","11,153,000"
Gross Profit,"2,270,000","2,349,000","2,573,000","2,464,000","2,433,000"
Operating Expense,"188,000","196,000","199,000","215,000","246,000"
Operating Income,"2,082,000","2,153,000","2,374,000","2,249,000","2,187,000"
Net Non Operating Interest Income Expense,"-709,000","-732,000","-746,000","-926,000","-967,000"
Other Income Expense,-,"-420,000","390,000","-552,000","-1,083,000"
Pretax Income,"967,000","1,001,000","2,018,000","771,000","137,000"
Tax Provision,"326,000","352,000","708,000","990,000","-188,000"
Earnings from Equity Interest Net of Tax,"-168,000","-172,000","39,000","71,000","36,000"
Net Income Common Stockholders,"293,000","303,000","1,203,000","-1,161,000","-1,130,000"
Diluted NI Available to Com Stockholders,"293,000","303,000","1,203,000","-1,161,000","-1,130,000"
Basic EPS,-,-,0.0018,-0.0018,-0.0017
Diluted EPS,-,-,0.0018,-0.0018,-0.0017
Basic Average Shares,-,-,"660,989","660,000","656,977"
Diluted Average Shares,-,-,"664,641","660,000","656,977"
Total Expenses,"7,795,000","8,036,000","8,362,000","8,281,000","11,399,000"
Interest Income,"309,000","318,000","310,000","244,000","464,000"
Interest Expense,"1,018,000","1,050,000","1,056,000","1,170,000","1,431,000"
Net Interest Income,"-709,000","-732,000","-746,000","-926,000","-967,000"
Net Income from Continuing & Discontinued Operation,"293,000","303,000","1,203,000","-1,161,000","-1,130,000"
Normalized Income,"447,776","493,100","642,500","-187,000","672,800"
EBIT,"1,985,000","2,051,000","3,074,000","1,941,000","1,568,000"
EBITDA,"3,052,000",-,-,-,-
Reconciled Cost of Revenue,"7,607,000","7,840,000","8,163,000","8,066,000","11,153,000"
Reconciled Depreciation,"1,067,000","1,045,000","1,003,000","1,169,000","1,176,000"
Net Income from Continuing Operation Net Minority Interest,"292,000","302,000","987,000","-532,000","8,000"
Total Unusual Items Excluding Goodwill,"-235,000","-294,000","530,000","-575,000","-1,108,000"
Total Unusual Items,"-235,000","-294,000","530,000","-575,000","-1,108,000"
Normalized EBITDA,"3,287,000","3,390,000","3,547,000","3,685,000","3,852,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-79,224","-102,900","185,500","-230,000","-443,200"
