Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"21,705,000","22,223,000","21,689,000","21,600,000","22,380,000"
Total Expenses,"17,782,000","17,778,000","17,706,000","17,582,000","18,313,000"
Pretax Income,"3,923,000","4,445,000","3,983,000","4,018,000","4,067,000"
Tax Provision,"981,000","1,141,000","1,063,000","-586,000","1,408,000"
Net Income Common Stockholders,"2,942,000","3,304,000","2,920,000","4,604,000","2,659,000"
Diluted NI Available to Com Stockholders,"2,942,000","3,304,000","2,920,000","4,604,000","2,659,000"
Basic EPS,-,0.0045,0.0038,0.0055,0.0032
Diluted EPS,-,0.0044,0.0038,0.0055,0.0032
Basic Average Shares,-,"742,414","769,588","792,042","822,942"
Diluted Average Shares,-,"746,430","774,650","797,860","827,842"
Net Income from Continuing & Discontinued Operation,"2,942,000","3,304,000","2,920,000","4,604,000","2,659,000"
Normalized Income,"2,942,000","3,304,000","2,920,000","4,604,000","2,659,000"
EBIT,"4,148,000","4,673,000","4,205,000","4,258,000","4,335,000"
Net Income from Continuing Operation Net Minority Interest,"2,942,000","3,304,000","2,920,000","4,604,000","2,659,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
Interest Expense,"225,000","228,000","222,000","240,000","268,000"
