Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"49,792,000","49,792,000","47,481,000","49,570,000","52,357,000"
Total Expenses,"44,505,000","44,505,000","47,224,000","48,104,000","52,431,000"
Pretax Income,"6,691,000","5,287,000","257,000","1,466,000","-74,000"
Tax Provision,"1,166,000","1,166,000","154,000","7,526,000","185,000"
Net Income Common Stockholders,"3,326,000","3,326,000","-6,000","-6,084,000","-849,000"
Diluted NI Available to Com Stockholders,"3,326,000","3,326,000","-6,000","-6,084,000","-849,000"
Basic EPS,-,-,0,-0.0065,0
Diluted EPS,-,-,0,-0.0065,0
Basic Average Shares,-,-,"898,406","930,561","1,091,085"
Diluted Average Shares,-,-,"910,141","930,561","1,091,085"
Net Income from Continuing & Discontinued Operation,"3,348,000","3,348,000","-6,000","-6,084,000","-849,000"
Normalized Income,"3,383,353","3,383,353","13,370","-6,131,800","-1,041,600"
Rent Expense Supplemental,-,-,-,-,0
EBIT,"6,704,000","6,704,000","1,566,000","2,634,000","1,186,000"
Reconciled Depreciation,"5,006,000","5,006,000","5,362,000","3,874,000","4,090,000"
Net Income from Continuing Operation Net Minority Interest,"3,300,000","3,300,000","36,000","-6,088,000","-759,000"
Total Unusual Items Excluding Goodwill,"-107,000","-107,000","31,000","73,000","471,000"
Total Unusual Items,"-107,000","-107,000","31,000","73,000","471,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-23,647","-23,647","8,370","29,200","188,400"
Interest Expense,"1,417,000","1,417,000","1,309,000","1,168,000","1,260,000"
