Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,052,900","7,119,700","6,934,000","6,159,600","5,594,800"
Cost of Revenue,"4,697,500","4,830,900","4,983,900","4,388,200","3,947,500"
Gross Profit,"2,355,400","2,288,800","1,950,100","1,771,400","1,647,300"
Operating Expense,"1,600,000","1,542,900","1,322,700","1,238,300","1,148,500"
Operating Income,"755,400","745,900","627,400","533,100","498,800"
Net Non Operating Interest Income Expense,"-190,100","-179,800","-138,400","-124,100","-109,800"
Other Income Expense,"95,000","60,000","-9,600","-30,900","-32,100"
Pretax Income,"660,300","626,100","479,400","378,100","356,900"
Tax Provision,"-59,200","-89,700","-196,500","-121,100","-88,100"
Net Income Common Stockholders,"681,000","668,800","633,500","463,100","414,400"
Diluted NI Available to Com Stockholders,"681,000","668,800","633,500","463,100","414,400"
Basic EPS,-,-,0.0035,0.0026,0.0023
Diluted EPS,-,-,0.0034,0.0025,0.0023
Basic Average Shares,-,-,"182,740","180,074","177,560"
Diluted Average Shares,-,-,"186,164","182,115","178,387"
Total Expenses,"6,297,500","6,373,800","6,306,600","5,626,500","5,096,000"
Net Income from Continuing & Discontinued Operation,"681,000","668,800","633,500","463,100","414,400"
Normalized Income,"624,000","625,000","640,508","481,640","433,660"
Interest Expense,"190,100","179,800","138,400","124,100","109,800"
Net Interest Income,"-190,100","-179,800","-138,400","-124,100","-109,800"
EBIT,"850,400","805,900","617,800","502,200","466,700"
EBITDA,"1,386,700",-,-,-,-
Reconciled Cost of Revenue,"4,697,500","4,830,900","4,983,900","4,388,200","3,947,500"
Reconciled Depreciation,"536,300","474,400","419,000","385,800","350,800"
Net Income from Continuing Operation Net Minority Interest,"681,000","668,800","633,500","463,100","414,400"
Total Unusual Items Excluding Goodwill,"95,000","60,000","-9,600","-30,900","-32,100"
Total Unusual Items,"95,000","60,000","-9,600","-30,900","-32,100"
Normalized EBITDA,"1,291,700","1,220,300","1,046,400","918,900","849,600"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"38,000","16,200","-2,592","-12,360","-12,840"
