Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,951,411","2,893,617","2,714,474","2,502,996","2,340,049"
Cost of Revenue,"1,015,463","987,624","953,485","875,758","809,001"
Gross Profit,"1,935,948","1,905,993","1,760,989","1,627,238","1,531,048"
Operating Expense,"1,336,331","1,328,002","1,344,937","1,232,762","1,060,125"
Operating Income,"599,617","577,991","416,052","394,476","470,923"
Net Non Operating Interest Income Expense,"-21,690","-15,009","-16,262",-984,"-3,936"
Other Income Expense,"-38,941","-30,501","-56,701","-77,370","-7,541"
Pretax Income,"538,986","532,481","343,089","316,122","459,446"
Tax Provision,"43,217","53,350","44,716","97,801","143,314"
Earnings from Equity Interest Net of Tax,"-1,718","-1,096",-,-,-
Net Income Common Stockholders,"494,051","478,035","298,373","218,321","316,132"
Diluted NI Available to Com Stockholders,"494,051","478,035","298,373","218,321","316,132"
Basic EPS,-,0.0029,0.0018,0.0013,0.0018
Diluted EPS,-,0.0029,0.0018,0.0013,0.0018
Basic Average Shares,-,"162,706","167,312","171,559","174,917"
Diluted Average Shares,-,"164,573","169,188","172,711","176,215"
Total Operating Income as Reported,"566,723","548,918","362,499","316,219","459,594"
Total Expenses,"2,351,794","2,315,626","2,298,422","2,108,520","1,869,126"
Net Income from Continuing & Discontinued Operation,"494,051","478,035","298,373","218,321","316,132"
Normalized Income,"524,307","504,201","344,964","272,397","323,926"
Interest Income,"32,763","34,355","26,940","17,855","14,702"
Interest Expense,"54,453","49,364","43,202","18,839","18,638"
Net Interest Income,"-21,690","-15,009","-16,262",-984,"-3,936"
EBIT,"593,439","581,845","386,291","334,961","478,084"
EBITDA,"1,042,116",-,-,-,-
Reconciled Cost of Revenue,"686,881","664,118","632,290","610,477","567,121"
Reconciled Depreciation,"448,677","440,674","434,520","372,313","334,302"
Net Income from Continuing Operation Net Minority Interest,"494,051","478,035","298,373","218,321","316,132"
Total Unusual Items Excluding Goodwill,"-32,894","-29,073","-53,553","-78,257","-11,329"
Total Unusual Items,"-32,894","-29,073","-53,553","-78,257","-11,329"
Normalized EBITDA,"1,075,010","1,051,592","874,364","785,531","823,715"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,638","-2,907","-6,962","-24,181","-3,535"
