Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,496,208","3,589,427","3,374,950","3,071,976","2,677,203"
Cost of Revenue,"2,279,898","2,331,649","2,157,694","1,961,996","1,706,627"
Gross Profit,"1,216,310","1,257,778","1,217,256","1,109,980","970,576"
Operating Expense,"581,297","591,655","516,144","522,231","460,939"
Operating Income,"635,013","666,123","701,112","587,749","509,637"
Net Non Operating Interest Income Expense,"-61,994","-57,695","-52,405","-115,350","-65,181"
Other Income Expense,"-48,455","-45,478","145,994","-25,601","70,808"
Pretax Income,"524,564","562,950","794,701","446,798","515,264"
Tax Provision,"69,089","88,161","144,826","431,817","96,263"
Earnings from Equity Interest Net of Tax,"120,991","129,568","89,264","84,487","59,637"
Net Income Common Stockholders,"506,863","533,228","693,562","54,850","643,675"
Diluted NI Available to Com Stockholders,"506,863","533,228","693,562","54,850","643,675"
Basic EPS,-,-,0.0064,0,0.0057
Diluted EPS,-,-,0.0063,0,0.0057
Basic Average Shares,-,-,"108,427","110,914","112,379"
Diluted Average Shares,-,-,"109,458","112,380","113,239"
Total Operating Income as Reported,"635,013","666,123","911,540","587,749","574,551"
Total Expenses,"2,861,195","2,923,304","2,673,838","2,484,227","2,167,566"
Net Income from Continuing & Discontinued Operation,"506,863","533,228","693,562","54,850","643,675"
Normalized Income,"506,863","533,228","521,432","54,850","388,769"
Interest Expense,"61,994","57,695","52,405","115,350","65,181"
Net Interest Income,"-61,994","-57,695","-52,405","-115,350","-65,181"
EBIT,"586,558","620,645","847,106","562,148","580,445"
EBITDA,"804,453",-,-,-,-
Reconciled Cost of Revenue,"2,279,898","2,331,649","2,157,694","1,961,996","1,706,627"
Reconciled Depreciation,"217,895","213,484","200,698","196,928","226,169"
Net Income from Continuing Operation Net Minority Interest,"506,863","533,228","693,562","54,850","441,544"
Total Unusual Items Excluding Goodwill,-,0,"210,428",0,"64,914"
Total Unusual Items,-,0,"210,428",0,"64,914"
Normalized EBITDA,"804,453","834,129","837,376","759,076","741,700"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,"38,298",0,"12,139"
