Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,408,788","2,406,796","1,966,492","1,473,413","1,079,874"
Cost of Revenue,"672,631","662,899","518,625","356,466","264,580"
Gross Profit,"1,736,157","1,743,897","1,447,867","1,116,947","815,294"
Operating Expense,"1,269,239","1,229,414","981,303","763,336","566,373"
Operating Income,"466,918","514,483","466,564","353,611","248,921"
Net Non Operating Interest Income Expense,"11,835","12,482","8,576","11,188","-6,355"
Other Income Expense,"52,665","35,686","-8,489",-,-
Pretax Income,"531,418","562,651","466,651","364,799","242,566"
Tax Provision,"-1,361,225","112,347","57,723","130,162","51,200"
Earnings from Equity Interest Net of Tax,"-3,584","-7,528","-8,693","-3,219","-1,684"
Net Income Common Stockholders,"1,889,059","442,776","400,235","231,418","189,682"
Diluted NI Available to Com Stockholders,"1,889,059","442,776","400,235","231,418","189,682"
Basic EPS,-,0.0056,0.005,0.0029,0.0024
Diluted EPS,-,0.0055,0.0049,0.0028,0.0023
Basic Average Shares,-,"79,424","80,064","80,085","79,856"
Diluted Average Shares,-,"80,100","81,357","81,832","81,484"
Total Operating Income as Reported,"524,710","542,493","466,564","353,611","248,921"
Total Expenses,"1,941,870","1,892,313","1,499,928","1,119,802","830,953"
Net Income from Continuing & Discontinued Operation,"1,889,059","442,776","400,235","231,418","189,682"
Normalized Income,"1,846,871","420,368","400,235","231,418","189,682"
Interest Income,"11,835","12,482","8,576",-,-
Net Interest Income,"11,835","12,482","8,576","11,188","-6,355"
EBIT,"466,918","514,483","466,564","353,611","248,921"
EBITDA,"548,330",-,-,-,-
Reconciled Cost of Revenue,"672,631","662,899","518,625","356,466","264,580"
Reconciled Depreciation,"81,412","78,990","54,727","37,739","24,002"
Net Income from Continuing Operation Net Minority Interest,"1,889,059","442,776","400,235","231,418","189,682"
Total Unusual Items Excluding Goodwill,"57,792","28,010",-,-,-
Total Unusual Items,"57,792","28,010",-,-,-
Normalized EBITDA,"490,538","565,463","521,291","391,350","272,923"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"15,604","5,602",0,0,0
