Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,873,700","2,854,000","2,731,700","2,408,200","2,238,000"
Cost of Revenue,"1,605,200","1,601,700","1,558,400","1,337,500","1,252,700"
Gross Profit,"1,268,500","1,252,300","1,173,300","1,070,700","985,300"
Operating Expense,"686,200","687,200","647,500","582,500","559,800"
Operating Income,"582,300","565,100","525,800","488,200","425,500"
Net Non Operating Interest Income Expense,"-53,200","-54,200","-53,200","-104,500","-62,400"
Other Income Expense,"-137,300","-35,700","2,600","12,000","-68,100"
Pretax Income,"391,800","475,200","475,200","395,700","295,000"
Tax Provision,"69,500","73,100","39,800","119,000","63,800"
Net Income Common Stockholders,"322,000","401,800","434,900","273,300","229,100"
Diluted NI Available to Com Stockholders,"322,000","401,800","434,900","273,300","229,100"
Basic EPS,-,0.0043,0.0046,0.0029,0.0024
Diluted EPS,-,0.0043,0.0045,0.0029,0.0024
Basic Average Shares,-,"93,600","95,000","95,100","95,800"
Diluted Average Shares,-,"94,300","95,700","96,000","96,900"
Total Operating Income as Reported,"486,000","565,100","525,800","488,200","425,500"
Total Expenses,"2,291,400","2,288,900","2,205,900","1,920,000","1,812,500"
Net Income from Continuing & Discontinued Operation,"322,000","401,800","434,900","273,300","229,100"
Normalized Income,"428,364","428,787","435,175","273,789","296,838"
Interest Income,"2,000","1,800",800,"1,200","1,900"
Interest Expense,"55,200","56,000","54,000","105,700","64,300"
Net Interest Income,"-53,200","-54,200","-53,200","-104,500","-62,400"
EBIT,"447,000","531,200","529,200","501,400","359,300"
EBITDA,"529,100",-,-,-,-
Reconciled Cost of Revenue,"1,605,200","1,601,700","1,558,400","1,337,500","1,252,700"
Reconciled Depreciation,"82,100","83,000","86,200","66,900","66,900"
Net Income from Continuing Operation Net Minority Interest,"322,000","401,800","434,900","273,300","229,100"
Total Unusual Items Excluding Goodwill,"-129,300","-31,900",-300,-700,"-86,400"
Total Unusual Items,"-129,300","-31,900",-300,-700,"-86,400"
Normalized EBITDA,"658,400","646,100","615,700","569,000","512,600"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-22,936","-4,913",-25.2,-210.7,"-18,662"
