Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"44,675,000","44,675,000","39,815,000","38,524,000","36,534,000"
Total Expenses,"38,586,000","38,586,000","37,071,000","34,533,000","33,780,000"
Pretax Income,"6,089,000","6,089,000","2,744,000","3,991,000","2,754,000"
Tax Provision,"1,242,000","1,242,000","492,000","802,000","877,000"
Net Income Common Stockholders,"4,678,000","4,678,000","2,104,000","3,073,000","1,761,000"
Diluted NI Available to Com Stockholders,"4,678,000","4,678,000","2,104,000","3,073,000","1,761,000"
Basic EPS,-,-,0.0058,0.0085,0.0047
Diluted EPS,-,-,0.0057,0.0084,0.0047
Basic Average Shares,-,-,"347,800","362,000","372,800"
Diluted Average Shares,-,-,"353,200","367,800","377,300"
Net Income from Continuing & Discontinued Operation,"4,847,000","4,847,000","2,252,000","3,189,000","1,877,000"
Normalized Income,"4,959,236","4,959,236","2,315,217","3,359,986","1,894,025"
EBIT,"6,416,000","6,416,000","3,076,000","4,326,000","3,049,000"
Reconciled Depreciation,"645,000","647,000","511,000","483,000","382,000"
Net Income from Continuing Operation Net Minority Interest,"4,847,000","4,847,000","2,252,000","3,189,000","1,877,000"
Total Unusual Items Excluding Goodwill,"-141,000","-141,000","-77,000","-214,000","-25,000"
Total Unusual Items,"-128,000","-141,000","-77,000","-214,000","-25,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-28,764","-28,764","-13,783","-43,014","-7,975"
Interest Expense,"327,000","327,000","332,000","335,000","295,000"
