Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Revenue,"15,435,000","14,608,000","17,253,000","14,537,000","10,825,000"
Cost of Revenue,"8,637,000","8,222,000","9,436,000","8,005,000","6,314,000"
Gross Profit,"6,798,000","6,386,000","7,817,000","6,532,000","4,511,000"
Operating Expense,"3,158,000","3,036,000","3,021,000","2,664,000","2,359,000"
Operating Income,"3,640,000","3,350,000","4,796,000","3,868,000","2,152,000"
Net Non Operating Interest Income Expense,"-135,000","-81,000","-102,000","-137,000","-139,000"
Pretax Income,"3,505,000","3,269,000","4,694,000","3,731,000","2,013,000"
Tax Provision,"589,000","563,000","1,381,000","297,000","292,000"
Net Income Common Stockholders,"2,916,000","2,706,000","3,313,000","3,434,000","1,721,000"
Diluted NI Available to Com Stockholders,"2,916,000","2,706,000","3,313,000","3,434,000","1,721,000"
Basic EPS,-,0.0029,0.0033,0.0032,0.0016
Diluted EPS,-,0.0029,0.0032,0.0032,0.0015
Basic Average Shares,-,"937,000","1,013,000","1,073,000","1,107,000"
Diluted Average Shares,-,"945,000","1,026,000","1,084,000","1,116,000"
Total Operating Income as Reported,"3,640,000","3,350,000","4,796,000","3,868,000","2,152,000"
Total Expenses,"11,795,000","11,258,000","12,457,000","10,669,000","8,673,000"
Net Income from Continuing & Discontinued Operation,"2,916,000","2,706,000","3,313,000","3,434,000","1,721,000"
Normalized Income,"2,916,000","2,706,000","3,313,000","3,434,000","1,721,000"
Interest Income,"102,000","156,000","132,000","61,000","16,000"
Interest Expense,"237,000","237,000","234,000","198,000","155,000"
Net Interest Income,"-135,000","-81,000","-102,000","-137,000","-139,000"
EBIT,"3,742,000","3,506,000","4,928,000","3,929,000","2,168,000"
EBITDA,"4,108,000",-,-,-,-
Reconciled Cost of Revenue,"8,637,000","8,222,000","9,436,000","8,005,000","6,314,000"
Reconciled Depreciation,"366,000","363,000","457,000","407,000","389,000"
Net Income from Continuing Operation Net Minority Interest,"2,916,000","2,706,000","3,313,000","3,434,000","1,721,000"
Normalized EBITDA,"4,108,000","3,869,000","5,385,000","4,336,000","2,557,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
