Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"11,927,700","9,458,200","9,262,259","9,092,132","9,474,349"
Cost of Revenue,"9,576,800","7,659,100","7,416,784","7,182,195","7,468,317"
Gross Profit,"2,350,900","1,799,100","1,845,475","1,909,937","2,006,032"
Operating Expense,"1,323,500","876,600","882,981","1,067,659","1,537,207"
Operating Income,"1,027,400","922,500","962,493","842,278","468,825"
Net Non Operating Interest Income Expense,"-182,900","-191,100","-203,551","-186,818","-167,739"
Other Income Expense,"-115,000","-127,300","116,386","109,493","110,117"
Pretax Income,"729,500","604,100","875,328","764,954","411,202"
Tax Provision,"213,700","171,500","144,414","214,091","241,854"
Earnings from Equity Interest Net of Tax,"13,500","4,100",-,-,-
Net Income Common Stockholders,"513,400","429,400","719,584","596,418","245,474"
Diluted NI Available to Com Stockholders,"513,400","429,400",-,-,-
Basic EPS,-,0,0,0,0
Diluted EPS,-,0,0,0,0
Basic Average Shares,-,"1,180,300","1,157,100","1,157,200","1,162,200"
Diluted Average Shares,-,"1,183,800","1,163,937","1,168,344","1,179,017"
Total Operating Income as Reported,"895,700","791,700",-,-,-
Rent Expense Supplemental,-,-,"108,633","100,902","101,569"
Total Expenses,"10,900,300","8,535,700","8,299,766","8,249,854","9,005,524"
Net Income from Continuing & Discontinued Operation,"513,700","430,200","719,584","596,418","245,474"
Normalized Income,"613,820","523,153","661,640","574,411","239,883"
Interest Income,"23,500","16,800","13,020","12,188","34,594"
Interest Expense,"206,400","207,900","216,571","199,006","202,333"
Net Interest Income,"-182,900","-191,100","-203,551","-186,818","-167,739"
EBIT,"935,900","812,000","1,091,899","963,960","613,535"
EBITDA,"1,618,600",-,-,-,-
Reconciled Cost of Revenue,"9,576,800","7,659,100","7,416,784","7,182,195","7,468,317"
Reconciled Depreciation,"682,700","453,000",-,-,-
Net Income from Continuing Operation Net Minority Interest,"520,700","429,500","719,584","596,418","245,474"
Total Unusual Items Excluding Goodwill,"-131,700","-130,800","66,492","26,075","6,637"
Total Unusual Items,"-131,700","-130,800","66,492","26,075","6,637"
Normalized EBITDA,"1,750,300","1,395,800","1,025,407","937,885","606,898"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-38,580","-37,147","8,548","4,068","1,046"
