Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"12,763,000","12,890,000","12,924,000","12,075,000","11,735,000"
Total Expenses,"8,650,000","10,658,000","10,440,000","9,861,000","10,143,000"
Pretax Income,"4,113,000","2,232,000","2,484,000","2,214,000","1,592,000"
Tax Provision,"579,000","339,000","386,000","734,000","278,000"
Net Income Common Stockholders,"3,534,000","1,893,000","2,098,000","1,480,000","1,314,000"
Diluted NI Available to Com Stockholders,"3,534,000","1,893,000","2,098,000","1,480,000","1,314,000"
Basic EPS,-,-,0.0144,0.0096,0.0079
Diluted EPS,-,-,0.0142,0.0094,0.0078
Basic Average Shares,-,-,"145,600","154,100","166,300"
Diluted Average Shares,-,-,"147,700","156,700","168,200"
Net Income from Continuing & Discontinued Operation,"3,534,000","1,893,000","2,098,000","1,480,000","1,314,000"
Normalized Income,"3,534,000","1,712,376","2,098,000","1,480,000","1,314,000"
EBIT,"4,446,000","2,582,000","2,818,000","2,469,000","1,872,000"
Reconciled Depreciation,"184,000","183,000","198,000","234,000","248,000"
Net Income from Continuing Operation Net Minority Interest,"3,534,000","1,893,000","2,098,000","1,480,000","1,314,000"
Total Unusual Items Excluding Goodwill,-,"213,000",-,-,-
Total Unusual Items,-,"213,000",-,-,-
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"32,376",0,0,0
Interest Expense,"333,000","350,000","334,000","255,000","280,000"
