Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,760,000","7,580,300","7,440,100","6,663,900","5,785,668"
Cost of Revenue,"2,225,400","2,216,800","2,177,800","2,056,600","1,790,389"
Gross Profit,"5,534,600","5,363,500","5,262,300","4,607,300","3,995,279"
Operating Expense,"2,724,300","2,675,100","3,357,300","2,608,900","2,142,250"
Operating Income,"2,810,300","2,688,400","1,905,000","1,998,400","1,853,029"
Net Non Operating Interest Income Expense,"-771,000","-767,400","-770,900","-703,400","-680,547"
Other Income Expense,"-124,800","-4,600","20,500","-38,900","-46,622"
Pretax Income,"1,914,500","1,916,400","1,154,600","1,256,100","1,125,860"
Tax Provision,"-13,100",-200,"-110,100","30,700","155,501"
Net Income Common Stockholders,"1,905,400","1,887,800","1,227,000","1,151,500","849,300"
Diluted NI Available to Com Stockholders,"1,905,400","1,887,800","1,227,000","1,151,500","849,300"
Basic EPS,-,0.0043,0.0028,0.0027,0.002
Diluted EPS,-,0.0042,0.0028,0.0027,0.002
Basic Average Shares,-,"442,319","439,606","428,181","425,143"
Diluted Average Shares,-,"445,520","442,960","431,688","429,283"
Total Operating Income as Reported,"2,810,300","2,688,400","1,905,000","1,998,400","1,853,029"
Total Expenses,"4,949,700","4,891,900","5,535,100","4,665,500","3,932,639"
Net Income from Continuing & Discontinued Operation,"1,905,400","1,887,800","1,236,400","1,238,900","956,425"
Normalized Income,"1,939,420","1,903,900","1,238,809","1,307,415","955,418"
Interest Income,"44,500","46,800","55,800","47,400","37,741"
Interest Expense,"815,500","814,200","826,700","750,800","718,288"
Net Interest Income,"-771,000","-767,400","-770,900","-703,400","-680,547"
EBIT,"2,730,000","2,730,600","1,981,300","2,006,900","1,844,148"
EBITDA,"4,543,800",-,-,-,-
Reconciled Cost of Revenue,"2,244,600","2,216,800","2,177,800","2,056,600","1,790,389"
Reconciled Depreciation,"1,794,600","1,778,400","2,110,800","1,715,900","1,525,635"
Net Income from Continuing Operation Net Minority Interest,"1,905,400","1,887,800","1,236,400","1,238,900","956,425"
Total Unusual Items Excluding Goodwill,"-56,700","-16,100","-3,300","-70,200","1,168"
Total Unusual Items,"-56,700","-16,100","-3,300","-70,200","1,168"
Normalized EBITDA,"4,600,500","4,525,100","4,095,400","3,793,000","3,368,615"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-22,680",0,-891,"-1,685",161.184
