Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"296,274,000","280,522,000","232,887,000","177,866,000","135,987,000"
Cost of Revenue,"219,035,000","205,768,000","173,183,000","137,183,000","105,884,000"
Gross Profit,"77,239,000","74,754,000","59,704,000","40,683,000","30,103,000"
Operating Expense,"63,129,000","60,213,000","47,283,000","36,577,000","25,917,000"
Operating Income,"14,110,000","14,541,000","12,421,000","4,106,000","4,186,000"
Net Non Operating Interest Income Expense,"-785,000","-768,000","-977,000","-646,000","-384,000"
Other Income Expense,"-367,000","203,000","-183,000","346,000","90,000"
Pretax Income,"12,958,000","13,976,000","11,261,000","3,806,000","3,892,000"
Tax Provision,"2,282,000","2,374,000","1,197,000","769,000","1,425,000"
Earnings from Equity Interest Net of Tax,"-114,000","-14,000","9,000","-4,000","-96,000"
Net Income Common Stockholders,"10,562,000","11,588,000","10,073,000","3,033,000","2,371,000"
Diluted NI Available to Com Stockholders,"10,562,000","11,588,000","10,073,000","3,033,000","2,371,000"
Basic EPS,-,0.0235,0.0207,0.0063,0.005
Diluted EPS,-,0.023,0.0201,0.0062,0.0049
Basic Average Shares,-,"494,000","487,000","480,000","474,000"
Diluted Average Shares,-,"504,000","500,000","493,000","484,000"
Total Operating Income as Reported,"14,110,000","14,541,000","12,421,000","4,106,000","4,186,000"
Total Expenses,"282,164,000","265,981,000","220,466,000","173,760,000","131,801,000"
Net Income from Continuing & Discontinued Operation,"10,562,000","11,588,000","10,073,000","3,033,000","2,371,000"
Normalized Income,"10,562,000","11,588,000","10,073,000","3,033,000","2,371,000"
Interest Income,"851,000","832,000","440,000","202,000","100,000"
Interest Expense,"1,636,000","1,600,000","1,417,000","848,000","484,000"
Net Interest Income,"-785,000","-768,000","-977,000","-646,000","-384,000"
EBIT,"14,594,000","15,576,000","12,678,000","4,654,000","4,376,000"
EBITDA,"36,891,000",-,-,-,-
Reconciled Cost of Revenue,"219,035,000","205,768,000","173,183,000","137,183,000","105,884,000"
Reconciled Depreciation,"22,297,000","21,789,000","15,341,000","11,478,000","8,116,000"
Net Income from Continuing Operation Net Minority Interest,"10,562,000","11,588,000","10,073,000","3,033,000","2,371,000"
Total Unusual Items Excluding Goodwill,"-367,000","203,000","-183,000","346,000","90,000"
Total Unusual Items,"-367,000","203,000","-183,000","346,000","90,000"
Normalized EBITDA,"36,891,000","37,365,000","28,019,000","16,132,000","12,492,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
