Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,410,706","2,410,706","2,151,369","1,646,186","1,129,167"
Cost of Revenue,"866,368","866,368","777,992","584,417","406,051"
Gross Profit,"1,544,338","1,544,338","1,373,377","1,061,769","723,116"
Operating Expense,"738,564","738,564","695,030","591,497","479,707"
Operating Income,"805,774","805,774","678,347","470,272","243,409"
Net Non Operating Interest Income Expense,"51,144","51,144","28,965","-2,780","-3,136"
Other Income Expense,"5,352","5,352","-418,511","7,268","1,952"
Pretax Income,"862,270","862,270","288,801","474,760","242,225"
Tax Provision,"2,403","2,403","-39,314","51,559","58,036"
Net Income Common Stockholders,"859,444","859,444","327,926","422,400","182,965"
Average Dilution Earnings,24,24,15,68,74
Diluted NI Available to Com Stockholders,"859,468","859,468","327,941","422,468","183,039"
Basic EPS,-,-,0.0044,0.0058,0.0027
Diluted EPS,-,-,0.0041,0.0054,0.0025
Basic Average Shares,-,-,"74,750","72,258","68,771"
Diluted Average Shares,-,-,"80,844","78,977","73,222"
Total Operating Income as Reported,"805,774","805,774","273,347","470,272","243,409"
Total Expenses,"1,604,932","1,604,932","1,473,022","1,175,914","885,758"
Net Income from Continuing & Discontinued Operation,"859,867","859,867","328,115","423,201","184,189"
Normalized Income,"797,269","854,455","633,839","423,201","184,189"
Interest Income,"51,144","51,144","31,666",-,-
Interest Expense,-,-,"2,701","2,780","3,136"
Net Interest Income,"51,144","51,144","28,965","-2,780","-3,136"
EBIT,"805,774","805,774","291,502","477,540","245,361"
EBITDA,"838,623",-,-,-,-
Reconciled Cost of Revenue,"866,368","866,368","777,992","584,417","406,051"
Reconciled Depreciation,"32,849","32,849","27,671","20,640","19,749"
Net Income from Continuing Operation Net Minority Interest,"859,867","859,867","328,115","423,201","184,189"
Total Unusual Items Excluding Goodwill,"5,427","5,427","-418,800",-,-
Total Unusual Items,"5,427","5,427","-418,800",-,-
Normalized EBITDA,"833,196","833,196","737,973","498,180","265,110"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,15.1956,15.1956,"-113,076",0,0
