Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,089,000","11,013,000","10,770,000","9,998,000","11,627,000"
Cost of Revenue,"5,992,000","6,054,000","6,103,000","6,089,000","6,914,000"
Gross Profit,"5,097,000","4,959,000","4,667,000","3,909,000","4,713,000"
Operating Expense,"2,767,000","2,790,000","3,123,000","2,930,000","2,807,000"
Operating Income,"2,330,000","2,169,000","1,544,000","979,000","1,906,000"
Net Non Operating Interest Income Expense,"-310,000","-299,000","-273,000","-255,000","-273,000"
Other Income Expense,-,"1,000","-25,000","-39,000","36,000"
Pretax Income,"2,050,000","1,871,000","1,246,000","685,000","1,669,000"
Tax Provision,"360,000","297,000","146,000","250,000","239,000"
Net Income Common Stockholders,"1,645,000","1,532,000","1,134,000","1,226,000","1,396,000"
Diluted NI Available to Com Stockholders,"1,645,000","1,532,000","1,134,000","1,226,000","1,396,000"
Basic EPS,-,-,0.0046,0.0047,0.0052
Diluted EPS,-,-,0.0046,0.0047,0.0052
Basic Average Shares,-,-,"245,200","258,500","267,946"
Diluted Average Shares,-,-,"247,000","260,700","270,300"
Total Operating Income as Reported,"2,330,000","2,169,000","1,544,000","979,000","1,906,000"
Rent Expense Supplemental,"325,000","339,000","370,000","348,000",-
Total Expenses,"8,759,000","8,844,000","9,226,000","9,019,000","9,721,000"
Net Income from Continuing & Discontinued Operation,"1,645,000","1,532,000","1,134,000","1,226,000","1,396,000"
Normalized Income,"1,633,810","1,543,092","1,060,000","398,000","1,396,000"
Interest Income,"8,000","8,000","5,000","27,000","9,000"
Interest Expense,"318,000","307,000","278,000","282,000","282,000"
Net Interest Income,"-310,000","-299,000","-273,000","-255,000","-273,000"
EBIT,"2,368,000","2,178,000","1,524,000","967,000","1,951,000"
EBITDA,"2,933,000",-,-,-,-
Reconciled Cost of Revenue,"5,992,000","6,054,000","6,103,000","6,089,000","6,914,000"
Reconciled Depreciation,"565,000","564,000","769,000","891,000","509,000"
Net Income from Continuing Operation Net Minority Interest,"1,647,000","1,533,000","1,060,000","398,000","1,396,000"
Total Unusual Items Excluding Goodwill,"16,000","-12,000",-,-,-
Total Unusual Items,"16,000","-12,000",-,-,-
Normalized EBITDA,"2,917,000","2,754,000","2,293,000","1,858,000","2,460,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"2,810","-1,908",0,0,0
