Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"8,978,200","8,918,900","8,930,200","8,187,600","9,524,400"
Cost of Revenue,"5,903,500","5,975,500","6,189,500","5,753,400","6,402,700"
Gross Profit,"3,074,700","2,943,400","2,740,700","2,434,200","3,121,700"
Operating Expense,"801,000","773,600","778,100","693,000","940,100"
Operating Income,"2,273,700","2,169,800","1,962,600","1,741,200","2,181,600"
Net Non Operating Interest Income Expense,"-102,300","-137,000","-130,500","-119,100","-109,300"
Other Income Expense,"350,800","256,700","182,900","-206,000","59,900"
Pretax Income,"2,522,200","2,289,500","2,015,000","1,416,100","2,132,200"
Tax Provision,"509,700","480,100","524,300","260,900","586,500"
Net Income Common Stockholders,"1,944,600","1,760,000","1,497,800","3,000,400","631,100"
Diluted NI Available to Com Stockholders,"1,944,600","1,760,000","1,497,800","3,000,400","631,100"
Basic EPS,-,0.008,0.0068,0.0138,0.0029
Diluted EPS,-,0.0079,0.0068,0.0137,0.0029
Basic Average Shares,-,"220,300","219,300","218,000","216,400"
Diluted Average Shares,-,"221,600","220,800","219,800","218,300"
Total Operating Income as Reported,"2,311,100","2,144,400","1,965,600","1,427,600","2,106,000"
Total Expenses,"6,704,500","6,749,100","6,967,600","6,446,400","7,342,800"
Net Income from Continuing & Discontinued Operation,"1,944,600","1,760,000","1,497,800","3,000,400","631,100"
Normalized Income,"1,929,058","1,780,066","1,453,380","1,391,522","1,579,608"
Interest Income,-,-,0,"1,500","6,200"
Interest Expense,"102,300","137,000","130,500","120,600","115,500"
Net Interest Income,"-102,300","-137,000","-130,500","-119,100","-109,300"
EBIT,"2,624,500","2,426,500","2,145,500","1,536,700","2,247,700"
EBITDA,"3,771,100",-,-,-,-
Reconciled Cost of Revenue,"5,903,500","5,975,500","6,189,500","5,753,400","6,402,700"
Reconciled Depreciation,"1,146,600","1,082,800","970,700","865,800","925,900"
Net Income from Continuing Operation Net Minority Interest,"1,958,900","1,760,000","1,455,600","1,134,400","1,515,300"
Total Unusual Items Excluding Goodwill,"37,400","-25,400","3,000","-315,100","-88,700"
Total Unusual Items,"37,400","-25,400","3,000","-315,100","-88,700"
Normalized EBITDA,"3,733,700","3,534,700","3,113,200","2,717,600","3,262,300"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"7,558","-5,334",780,"-57,978","-24,392"
