Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,008,000","14,357,000","14,435,000","12,884,000","16,661,000"
Cost of Revenue,"11,474,000","11,711,000","11,706,000","10,270,000","13,107,000"
Gross Profit,"2,534,000","2,646,000","2,729,000","2,614,000","3,554,000"
Operating Expense,"1,220,000","1,222,000","1,147,000","1,069,000","1,279,000"
Operating Income,"1,314,000","1,424,000","1,582,000","1,545,000","2,275,000"
Net Non Operating Interest Income Expense,"-156,000","-151,000","-120,000","-133,000","-155,000"
Other Income Expense,"1,268,000","-147,000","-128,000","-157,000","-695,000"
Pretax Income,"2,426,000","1,126,000","1,334,000","1,255,000","1,425,000"
Tax Provision,"109,000","132,000","250,000","223,000","242,000"
Earnings from Equity Interest Net of Tax,"14,000","15,000","23,000","31,000","35,000"
Net Income Common Stockholders,"2,322,000","990,000","1,067,000","1,355,000","1,257,000"
Diluted NI Available to Com Stockholders,"2,322,000","990,000","1,067,000","1,355,000","1,257,000"
Basic EPS,-,-,0.004,0.0051,0.0047
Diluted EPS,-,-,0.004,0.0051,0.0046
Basic Average Shares,-,-,"264,410","265,840","269,790"
Diluted Average Shares,-,-,"265,220","268,030","273,700"
Total Operating Income as Reported,"2,598,000","1,276,000","1,473,000","1,416,000","1,947,000"
Total Expenses,"12,694,000","12,933,000","12,853,000","11,339,000","14,386,000"
Net Income from Continuing & Discontinued Operation,"2,322,000","990,000","1,067,000","1,355,000","1,257,000"
Normalized Income,"2,470,036","1,129,920","1,185,260","1,099,060","1,733,320"
Interest Income,"13,000","13,000","21,000","7,000","1,000"
Interest Expense,"169,000","164,000","141,000","140,000","156,000"
Net Interest Income,"-156,000","-151,000","-120,000","-133,000","-155,000"
EBIT,"2,595,000","1,290,000","1,475,000","1,395,000","1,581,000"
EBITDA,"3,319,000",-,-,-,-
Reconciled Cost of Revenue,"10,898,000","11,140,000","11,184,000","9,841,000","12,537,000"
Reconciled Depreciation,"724,000","717,000","676,000","546,000","704,000"
Net Income from Continuing Operation Net Minority Interest,"2,322,000","990,000","1,067,000","990,000","1,149,000"
Total Unusual Items Excluding Goodwill,"-155,000","-159,000","-146,000","-133,000","-704,000"
Total Unusual Items,"-155,000","-159,000","-146,000","-133,000","-704,000"
Normalized EBITDA,"3,474,000","2,166,000","2,297,000","2,074,000","2,989,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-6,964","-19,080","-27,740","-23,940","-119,680"
