Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,612,373","1,531,296","1,327,459","1,124,511","897,893"
Cost of Revenue,"473,094","445,492","381,120","325,609","278,408"
Gross Profit,"1,139,279","1,085,804","946,339","798,902","619,485"
Operating Expense,"702,130","653,435","568,066","491,792","377,274"
Operating Income,"437,149","432,369","378,273","307,110","242,211"
Net Non Operating Interest Income Expense,"-180,314","-173,675","-157,495","-126,388","-100,273"
Other Income Expense,"41,072","145,353","182,015","13,482","-191,737"
Pretax Income,"297,907","404,047","402,793","194,204","-49,799"
Net Income Common Stockholders,"244,237","350,995","363,983","145,395","-151,141"
Diluted NI Available to Com Stockholders,"244,237","350,995","363,983","145,395","-151,141"
Basic EPS,-,0.0031,0.0035,0.0016,-0.002
Diluted EPS,-,0.0031,0.0035,0.0016,-0.002
Basic Average Shares,-,"112,204","103,010","91,546","76,103"
Diluted Average Shares,-,"112,524","103,321","92,063","76,103"
Total Expenses,"1,175,224","1,098,927","949,186","817,401","655,682"
Net Income from Continuing & Discontinued Operation,"252,771","363,165","379,312","169,093","-65,901"
Normalized Income,"227,076","264,457","278,547","170,259","125,652"
Interest Income,-,-,-,"2,257","6,680"
Interest Expense,"180,314","173,675","157,495","128,645","106,953"
Net Interest Income,"-180,314","-173,675","-157,495","-126,388","-100,273"
EBIT,"478,221","577,722","560,288","322,849","57,154"
EBITDA,"1,064,242",-,-,-,-
Reconciled Cost of Revenue,"473,094","445,492","381,120","325,609","278,408"
Reconciled Depreciation,"586,021","544,612","477,661","416,783","313,390"
Net Income from Continuing Operation Net Minority Interest,"252,771","363,165","379,312","169,093","-65,901"
Total Unusual Items Excluding Goodwill,"35,198","135,217","138,034","-1,944","-191,553"
Total Unusual Items,"35,198","135,217","138,034","-1,944","-191,553"
Normalized EBITDA,"1,029,044","987,117","899,915","741,576","562,097"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"9,503","36,509","37,269",-777.6,0
