Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,452,000","6,489,000","7,500,000","7,017,000","6,608,000"
Cost of Revenue,"2,036,000","2,094,000","2,517,000","2,501,000","2,394,000"
Gross Profit,"4,416,000","4,395,000","4,983,000","4,516,000","4,214,000"
Operating Expense,"2,669,000","2,656,000","2,995,000","3,207,000","2,802,000"
Operating Income,"1,747,000","1,739,000","1,988,000","1,309,000","1,412,000"
Net Non Operating Interest Income Expense,"-16,000","-11,000","-71,000","-146,000","-214,000"
Other Income Expense,"-61,000","-95,000","-40,000","-12,000","-92,000"
Pretax Income,"1,670,000","1,633,000","1,877,000","1,151,000","1,106,000"
Tax Provision,"109,000","130,000","64,000","878,000","140,000"
Net Income Common Stockholders,"1,561,000","1,503,000","1,813,000","273,000","962,000"
Diluted NI Available to Com Stockholders,"1,561,000","1,503,000","1,813,000","273,000","962,000"
Basic EPS,-,-,0.0024,0,0.0013
Diluted EPS,-,-,0.0024,0,0.0013
Basic Average Shares,-,-,"762,000","754,000","740,000"
Diluted Average Shares,-,-,"771,000","766,000","754,000"
Total Operating Income as Reported,"1,649,000","1,607,000","1,988,000","1,309,000","1,412,000"
Total Expenses,"4,705,000","4,750,000","5,512,000","5,708,000","5,196,000"
Net Income from Continuing & Discontinued Operation,"1,561,000","1,503,000","1,813,000","273,000","966,000"
Normalized Income,"1,652,604","1,589,480","1,851,800","280,200","1,046,040"
Interest Income,"74,000","79,000",-,-,-
Interest Expense,"90,000","90,000",-,-,-
Net Interest Income,"-16,000","-11,000","-71,000","-146,000","-214,000"
EBIT,"1,760,000","1,723,000","1,988,000","1,309,000","1,412,000"
EBITDA,"2,261,000",-,-,-,-
Reconciled Cost of Revenue,"2,036,000","2,094,000","2,517,000","2,501,000","2,394,000"
Reconciled Depreciation,"501,000","553,000","998,000","1,199,000","1,150,000"
Net Income from Continuing Operation Net Minority Interest,"1,561,000","1,503,000","1,813,000","273,000","966,000"
Total Unusual Items Excluding Goodwill,"-98,000","-94,000","-40,000","-12,000","-92,000"
Total Unusual Items,"-98,000","-94,000","-40,000","-12,000","-92,000"
Normalized EBITDA,"2,359,000","2,370,000","3,026,000","2,520,000","2,654,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-6,396","-7,520","-1,200","-4,800","-11,960"
