Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,324,626","2,324,626","2,284,535","2,158,628","2,045,255"
Cost of Revenue,"768,106","768,106","770,560","725,321","683,274"
Gross Profit,"1,556,520","1,556,520","1,513,975","1,433,307","1,361,981"
Operating Expense,"723,432","719,620","687,561","634,823","577,205"
Operating Income,"833,088","836,900","826,414","798,484","784,776"
Net Non Operating Interest Income Expense,"-203,585","-203,585","-220,974","-199,661","-187,510"
Other Income Expense,"169,603","165,791","368,575","277,978","436,747"
Pretax Income,"799,106","799,106","974,015","876,801","1,034,013"
Tax Provision,"13,003","13,003",-160,141,305
Net Income Common Stockholders,"783,911","783,911","971,686","874,458","1,031,392"
Average Dilution Earnings,"2,036","2,109",44,"2,505","2,651"
Diluted NI Available to Com Stockholders,"783,911","786,020","971,686","876,963","1,034,043"
Basic EPS,-,0.0056,0.0071,0.0064,0.0075
Diluted EPS,-,0.0056,0.0071,0.0064,0.0075
Basic Average Shares,-,"139,420","138,248","137,911","137,275"
Diluted Average Shares,-,"139,572","138,289","138,067","137,462"
Total Expenses,"1,491,538","1,487,726","1,458,121","1,360,144","1,260,479"
Net Income from Continuing & Discontinued Operation,"785,974","785,974","974,525","876,921","1,034,002"
Normalized Income,"627,642","631,392","716,612","669,720","662,327"
Interest Expense,"211,607","203,585","220,974","199,661","187,510"
Net Interest Income,"-203,585","-203,585","-220,974","-199,661","-187,510"
EBIT,"833,088","1,002,691","1,194,989","1,076,462","1,221,523"
EBITDA,"1,494,666",-,-,-,-
Reconciled Cost of Revenue,"768,106","768,106","770,560","725,321","683,274"
Reconciled Depreciation,"661,578","661,578","631,196","584,150","531,434"
Net Income from Continuing Operation Net Minority Interest,"785,974","785,974","974,525","876,921","1,034,002"
Total Unusual Items Excluding Goodwill,"160,951","157,139","353,305","207,234","371,785"
Total Unusual Items,"160,951","157,139","353,305","207,234","371,785"
Normalized EBITDA,"1,333,715","1,507,130","1,472,880","1,453,378","1,381,172"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"2,619","2,557","95,392",33.3257,109.6644
