Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Revenue,"22,666,000","22,597,000","20,848,000","17,636,000","13,240,000"
Cost of Revenue,"10,127,000","10,114,000","10,115,000","9,127,000","7,300,000"
Gross Profit,"12,539,000","12,483,000","10,733,000","8,509,000","5,940,000"
Operating Expense,"8,716,000","8,303,000","5,365,000","5,843,000","5,353,000"
Operating Income,"3,823,000","4,180,000","5,368,000","2,666,000","587,000"
Net Non Operating Interest Income Expense,"-1,407,000","-1,346,000","-514,000","-410,000","-575,000"
Other Income Expense,"-164,000","-608,000","-309,000","-431,000","-1,119,000"
Pretax Income,"2,252,000","2,226,000","4,545,000","1,825,000","-1,107,000"
Tax Provision,"-383,000","-510,000","-8,084,000","35,000","642,000"
Net Income Common Stockholders,"2,535,000","2,695,000","12,259,000","1,692,000","-1,739,000"
Diluted NI Available to Com Stockholders,"2,535,000","2,695,000","12,259,000","1,692,000","-1,739,000"
Basic EPS,-,0.0068,0.0293,0.0044,-0.0048
Diluted EPS,-,0.0064,0.0284,0.0043,-0.0049
Basic Average Shares,-,"398,000","418,000","405,000","366,000"
Diluted Average Shares,-,"419,000","431,000","421,000","383,000"
Total Operating Income as Reported,"3,603,000","3,444,000","5,135,000","2,383,000","-409,000"
Total Expenses,"18,843,000","18,417,000","15,480,000","14,970,000","12,653,000"
Net Income from Continuing & Discontinued Operation,"2,638,000","2,724,000","12,259,000","1,692,000","-1,739,000"
Normalized Income,"2,795,600","3,191,661","12,525,470","2,138,469","-955,600"
Interest Income,-,"98,000","114,000","44,000","10,000"
Interest Expense,"1,505,000","1,444,000","628,000","454,000","585,000"
Net Interest Income,"-1,407,000","-1,346,000","-514,000","-410,000","-575,000"
EBIT,"3,757,000","3,670,000","5,173,000","2,279,000","-522,000"
EBITDA,"9,834,000",-,-,-,-
Reconciled Cost of Revenue,"6,075,000","6,204,000","6,575,000","6,154,000","6,131,000"
Reconciled Depreciation,"6,077,000","5,808,000","4,081,000","4,737,000","3,042,000"
Net Income from Continuing Operation Net Minority Interest,"2,635,000","2,736,000","12,278,000","1,698,000","-1,627,000"
Total Unusual Items Excluding Goodwill,"-220,000","-591,000","-339,000","-449,000","-1,119,000"
Total Unusual Items,"-220,000","-591,000","-339,000","-449,000","-1,119,000"
Normalized EBITDA,"10,054,000","10,069,000","9,593,000","7,465,000","3,639,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-59,400","-135,339","-91,530","-8,531","-447,600"
