Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,053,000","7,070,100","7,159,000","6,613,800","6,086,500"
Cost of Revenue,"5,129,200","5,166,000","5,243,500","4,801,600","4,386,800"
Gross Profit,"1,923,800","1,904,100","1,915,500","1,812,200","1,699,700"
Operating Expense,"1,085,100","1,080,400","1,127,500","1,123,200","1,097,500"
Operating Income,"838,700","823,700","788,000","689,000","602,200"
Net Non Operating Interest Income Expense,"-75,100","-75,800","-58,500","-63,000","-59,900"
Other Income Expense,"-48,800","-498,400","-174,700","-36,500","-65,200"
Pretax Income,"714,800","249,500","554,800","589,500","477,100"
Tax Provision,"128,000","-56,700","85,400","307,700","156,400"
Earnings from Equity Interest Net of Tax,"-2,100","-2,600","-2,000",-,-
Net Income Common Stockholders,"584,700","303,600","467,400","281,800","320,700"
Diluted NI Available to Com Stockholders,"584,700","303,600","467,400","281,800","320,700"
Basic EPS,-,0.0036,0.0055,0.0032,0.0036
Diluted EPS,-,0.0036,0.0053,0.0031,0.0035
Basic Average Shares,-,"83,367","84,724","88,012","88,309"
Diluted Average Shares,-,"85,000","88,600","90,100","90,700"
Total Expenses,"6,214,300","6,246,400","6,371,000","5,924,800","5,484,300"
Net Income from Continuing & Discontinued Operation,"584,700","303,600","467,400","281,800","320,700"
Normalized Income,"624,187","342,436","526,540","303,700","364,514"
Interest Expense,"75,100","75,800","58,500","63,000","59,900"
Net Interest Income,"-75,100","-75,800","-58,500","-63,000","-59,900"
EBIT,"789,900","325,300","613,300","652,500","537,000"
EBITDA,"971,900",-,-,-,-
Reconciled Cost of Revenue,"5,129,200","5,166,000","5,243,500","4,801,600","4,386,800"
Reconciled Depreciation,"182,000","179,000","181,000","178,700","180,100"
Net Income from Continuing Operation Net Minority Interest,"584,700","303,600","467,400","281,800","320,700"
Total Unusual Items Excluding Goodwill,"-48,100","-53,200","-69,900","-36,500","-65,200"
Total Unusual Items,"-48,100","-53,200","-69,900","-36,500","-65,200"
Normalized EBITDA,"1,020,000","557,500","864,200","867,700","782,300"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-8,613","-14,364","-10,760","-14,600","-21,386"
