Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"30,994,000","30,895,000","28,865,000","24,424,000","25,411,000"
Credit Losses Provision,"-5,385,000","-3,573,000","-3,352,000","-2,759,000","-2,026,000"
Non Interest Expense,"18,686,000","18,893,000","17,391,000","14,251,000","15,066,000"
Income from Associates & Other Participating Interests,-,-,-,-,0
Special Income Charges,-,-,-,-,"-223,000"
Pretax Income,"6,923,000","8,429,000","8,122,000","7,414,000","8,096,000"
Tax Provision,"1,347,000","1,670,000","1,201,000","4,678,000","2,688,000"
Net Income Common Stockholders,"5,446,000","6,631,000","6,787,000","2,634,000","5,285,000"
Diluted NI Available to Com Stockholders,"5,446,000","6,631,000","6,787,000","2,634,000","5,285,000"
Basic EPS,-,0.008,0.0079,0.003,0.0057
Diluted EPS,-,0.008,0.0079,0.003,0.0057
Basic Average Shares,-,"828,000","856,000","883,000","933,000"
Diluted Average Shares,-,"830,000","859,000","886,000","935,000"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"3,506,000","5,047,000","4,311,000","3,682,000","3,745,000"
Net Income from Continuing & Discontinued Operation,"5,576,000","6,759,000","6,921,000","2,736,000","5,408,000"
Normalized Income,"5,576,000","6,759,000","6,921,000","2,736,000","5,556,964"
Total Money Market Investments,"491,000","588,000","547,000","326,000","139,000"
Reconciled Depreciation,"1,228,000","1,188,000","1,293,000","1,321,000","1,095,000"
Net Income from Continuing Operation Net Minority Interest,"5,576,000","6,759,000","6,921,000","2,736,000","5,408,000"
Total Unusual Items Excluding Goodwill,-,-,-,-,"-223,000"
Total Unusual Items,-,-,-,-,"-223,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,"-74,036"
