Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Revenue,"43,243,000","43,638,000","42,879,000","42,151,000","39,403,000"
Cost of Revenue,"33,147,000","33,590,000","32,918,000","32,275,000","29,963,000"
Gross Profit,"10,096,000","10,048,000","9,961,000","9,876,000","9,440,000"
Operating Expense,"8,036,000","7,998,000","8,015,000","8,023,000","7,547,000"
Operating Income,"1,946,000","2,050,000","1,946,000","1,853,000","1,893,000"
Net Non Operating Interest Income Expense,"-70,000","-64,000","-73,000","-75,000","-72,000"
Other Income Expense,"-2,000","7,000","15,000","39,000","-5,000"
Pretax Income,"1,881,000","1,993,000","1,888,000","1,817,000","1,816,000"
Tax Provision,"467,000","452,000","424,000","818,000","609,000"
Net Income Common Stockholders,"1,531,000","1,541,000","1,464,000","1,000,000","1,228,000"
Diluted NI Available to Com Stockholders,"1,531,000","1,541,000","1,464,000","1,000,000","1,228,000"
Basic EPS,-,0.0058,0.0053,0.0033,0.0039
Diluted EPS,-,0.0058,0.0052,0.0033,0.0038
Basic Average Shares,-,"264,900","276,400","300,400","318,500"
Diluted Average Shares,-,"268,100","281,400","307,100","322,600"
Total Operating Income as Reported,"1,904,000","2,009,000","1,900,000","1,843,000","1,854,000"
Total Expenses,"41,183,000","41,588,000","40,933,000","40,298,000","37,510,000"
Net Income from Continuing & Discontinued Operation,"1,531,000","1,541,000","1,464,000","1,000,000","1,228,000"
Normalized Income,"1,436,526","1,535,589","1,452,360","970,530","1,210,325"
Interest Expense,"70,000","64,000","73,000","75,000","72,000"
Net Interest Income,"-70,000","-64,000","-73,000","-75,000","-72,000"
EBIT,"2,068,000","2,057,000","1,961,000","1,892,000","1,888,000"
EBITDA,"2,895,000",-,-,-,-
Reconciled Cost of Revenue,"33,147,000","33,590,000","32,918,000","32,275,000","29,963,000"
Reconciled Depreciation,"819,000","812,000","770,000","683,000","654,000"
Net Income from Continuing Operation Net Minority Interest,"1,531,000","1,541,000","1,464,000","999,000","1,207,000"
Total Unusual Items Excluding Goodwill,"8,000","7,000","15,000","39,000","-5,000"
Total Unusual Items,"8,000","7,000","15,000","39,000","-5,000"
Normalized EBITDA,"2,887,000","2,862,000","2,716,000","2,536,000","2,547,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"1,870","1,589","3,360","10,530","-1,675"
