Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"17,414,000","17,290,000","15,983,000","12,093,000","12,483,000"
Cost of Revenue,"9,360,000","9,002,000","8,721,000","6,151,000","6,492,000"
Gross Profit,"8,054,000","8,288,000","7,262,000","5,942,000","5,991,000"
Operating Expense,"5,999,000","6,050,000","5,021,000","4,109,000","3,833,000"
Operating Income,"2,055,000","2,238,000","2,241,000","1,833,000","2,158,000"
Net Non Operating Interest Income Expense,"-558,000","-627,000","-641,000","-445,000","-367,000"
Other Income Expense,"-446,000","-435,000","-427,000","-411,000","-717,000"
Pretax Income,"1,052,000","1,176,000","1,173,000","976,000","1,074,000"
Tax Provision,"-21,000","-57,000","862,000","-124,000","97,000"
Net Income Common Stockholders,"923,000","1,082,000","159,000","1,030,000","976,000"
Diluted NI Available to Com Stockholders,"923,000","1,082,000","159,000","1,030,000","976,000"
Basic EPS,-,0.004,0,0.0047,0.0046
Diluted EPS,-,0.0039,0,0.0046,0.0045
Basic Average Shares,-,"269,943","258,354","218,943","212,702"
Diluted Average Shares,-,"274,775","264,621","223,588","217,536"
Total Operating Income as Reported,"1,607,000","1,760,000","1,497,000","1,478,000","1,430,000"
Total Expenses,"15,359,000","15,052,000","13,742,000","10,260,000","10,325,000"
Net Income from Continuing & Discontinued Operation,"1,075,000","1,233,000","311,000","1,100,000","976,000"
Normalized Income,"1,413,720","1,597,270","876,020","1,346,600","1,637,752"
Interest Income,"9,000","12,000","65,000","76,000","21,000"
Interest Expense,"567,000","639,000","706,000","521,000","388,000"
Net Interest Income,"-558,000","-627,000","-641,000","-445,000","-367,000"
EBIT,"1,619,000","1,815,000","1,879,000","1,497,000","1,462,000"
EBITDA,"3,813,000",-,-,-,-
Reconciled Cost of Revenue,"9,360,000","9,002,000","8,721,000","6,151,000","6,492,000"
Reconciled Depreciation,"2,194,000","2,253,000","1,978,000","1,088,000","1,114,000"
Net Income from Continuing Operation Net Minority Interest,"1,075,000","1,233,000","311,000","1,100,000","976,000"
Total Unusual Items Excluding Goodwill,"-464,000","-499,000","-774,000","-411,000","-728,000"
Total Unusual Items,"-464,000","-499,000","-774,000","-411,000","-728,000"
Normalized EBITDA,"4,277,000","4,567,000","4,631,000","2,996,000","3,304,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-125,280","-134,730","-208,980","-164,400","-66,248"
