Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,422,400","14,377,900","13,452,900","12,273,900","11,448,800"
Cost of Revenue,"1,807,700","1,955,400","1,816,300","1,630,000","1,478,700"
Gross Profit,"12,614,700","12,422,500","11,636,600","10,643,900","9,970,100"
Operating Expense,"5,318,800","5,386,800","5,635,800","5,116,100","4,317,000"
Operating Income,"7,295,900","7,035,700","6,000,800","5,527,800","5,653,100"
Net Non Operating Interest Income Expense,"-70,600","-67,400","-88,100","-172,300","-196,600"
Other Income Expense,"-260,000","157,600","-13,100","-226,700","-523,500"
Pretax Income,"6,965,300","7,125,900","5,899,600","5,128,800","4,933,000"
Tax Provision,"1,027,500","1,158,000","1,425,600","2,458,700","1,237,300"
Earnings from Equity Interest Net of Tax,"-65,500","-79,400",0,0,0
Net Income Common Stockholders,"5,878,800","5,888,500","4,430,700","2,539,100","3,702,800"
Diluted NI Available to Com Stockholders,"5,878,800","5,888,500","4,430,700","2,539,100","3,702,800"
Basic EPS,-,0.0315,0.0216,0.0119,0.017
Diluted EPS,-,0.0314,0.0216,0.0119,0.0169
Basic Average Shares,-,"187,100","204,900","212,600","218,400"
Diluted Average Shares,-,"187,400","205,300","213,000","218,800"
Total Operating Income as Reported,"7,359,800","7,042,600","5,888,600","5,344,200","5,150,400"
Total Expenses,"7,126,500","7,342,200","7,452,100","6,746,100","5,795,700"
Net Income from Continuing & Discontinued Operation,"5,878,800","5,888,500","4,430,700","2,539,100","3,702,800"
Normalized Income,"6,056,798","5,717,250","4,432,671","2,667,260","4,082,169"
Interest Income,"113,200","120,000","112,500","78,500","63,400"
Interest Expense,"183,800","187,400","200,600","250,800","260,000"
Net Interest Income,"-70,600","-67,400","-88,100","-172,300","-196,600"
EBIT,"7,149,100","7,313,300","6,100,200","5,379,600","5,193,000"
EBITDA,"7,828,500",-,-,-,-
Reconciled Cost of Revenue,"1,621,500","1,764,700","1,547,000","1,363,700","1,181,600"
Reconciled Depreciation,"679,400","680,600","1,016,600","1,081,000","682,700"
Net Income from Continuing Operation Net Minority Interest,"5,878,800","5,888,500","4,430,700","2,539,100","3,702,800"
Total Unusual Items Excluding Goodwill,"-208,800","204,600","-2,600","-213,600","-506,500"
Total Unusual Items,"-208,800","204,600","-2,600","-213,600","-506,500"
Normalized EBITDA,"8,037,300","7,789,300","7,119,400","6,674,200","6,382,200"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-30,802","33,350",-629.2,"-85,440","-127,131"
