Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,940,000","15,066,000","14,527,000","12,681,082","10,743,006"
Cost of Revenue,-,-,-,"250,537","428,314"
Gross Profit,-,-,-,"12,430,545","10,314,692"
Operating Expense,"9,624,000","9,721,000","9,186,000","7,892,553","6,467,679"
Operating Income,"5,316,000","5,345,000","5,341,000","4,537,992","3,847,013"
Net Non Operating Interest Income Expense,"-111,000","-114,000","-82,000","-96,782","-112,954"
Other Income Expense,"-35,000","727,000","-424,000","-42,888","-1,020,821"
Pretax Income,"5,170,000","5,958,000","4,835,000","4,398,322","2,713,238"
Tax Provision,"830,000","1,093,000","837,000","2,057,557","578,251"
Net Income Common Stockholders,"4,340,000","4,865,000","3,998,000","2,340,765","2,134,987"
Diluted NI Available to Com Stockholders,"4,340,000","4,865,000","3,998,000","2,340,765","2,134,987"
Basic EPS,-,-,0.0843,0.0478,0.0431
Diluted EPS,-,-,0.0833,0.0469,0.0427
Basic Average Shares,-,-,"47,446","48,994","49,491"
Diluted Average Shares,-,-,"48,017","49,954","50,063"
Total Operating Income as Reported,"5,316,000","5,345,000","5,341,000","4,537,992","2,906,313"
Total Expenses,"9,624,000","9,721,000","9,186,000","8,143,090","6,895,993"
Net Income from Continuing & Discontinued Operation,"4,340,000","4,865,000","3,998,000","2,340,765","2,134,987"
Normalized Income,"4,369,381","4,271,041","4,348,648","2,366,498","2,938,373"
Interest Income,"159,000","152,000","187,000","157,194","94,946"
Interest Expense,"270,000","266,000","269,000","253,976","207,900"
Net Interest Income,"-111,000","-114,000","-82,000","-96,782","-112,954"
EBIT,"5,440,000","6,224,000","5,104,000","4,652,298","2,921,138"
EBITDA,"6,028,000",-,-,-,-
Reconciled Cost of Revenue,-,-,-,"250,537","428,314"
Reconciled Depreciation,"588,000","641,000","426,000","362,774","309,135"
Net Income from Continuing Operation Net Minority Interest,"4,340,000","4,865,000","3,998,000","2,340,765","2,134,987"
Total Unusual Items Excluding Goodwill,"-35,000","727,000","-424,000","-42,888","-1,020,821"
Total Unusual Items,"-35,000","727,000","-424,000","-42,888","-1,020,821"
Normalized EBITDA,"6,063,000","6,138,000","5,954,000","5,057,960","4,251,094"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-5,619","133,041","-73,352","-17,155","-217,435"
