Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"4,378,300","4,362,200","4,329,900","4,142,600","2,897,000"
Cost of Revenue,"3,192,500","3,131,900","3,169,600","3,109,600","1,975,900"
Gross Profit,"1,185,800","1,230,300","1,160,300","1,033,000","921,100"
Operating Expense,"618,900","577,500","565,400","501,400","420,900"
Operating Income,"566,900","652,800","594,900","531,600","500,200"
Net Non Operating Interest Income Expense,"-54,400","-41,700","-38,600","-42,700","-25,800"
Other Income Expense,"2,400","-3,700","4,800",-700,"-5,600"
Pretax Income,"514,900","607,300","561,000","488,100","468,900"
Tax Provision,"98,800","125,200","133,100","161,400","161,400"
Net Income Common Stockholders,"416,100","482,100","427,900","326,800","307,500"
Diluted NI Available to Com Stockholders,"416,100","482,100","427,900","326,800","307,500"
Basic EPS,-,0.0042,0.0037,0.0028,0.0026
Diluted EPS,-,0.0041,0.0036,0.0027,0.0025
Basic Average Shares,-,"115,900","116,800","118,000","118,300"
Diluted Average Shares,-,"118,800","120,400","120,800","121,600"
Total Operating Income as Reported,"566,900","652,700","594,900","531,600","500,300"
Total Expenses,"3,811,400","3,709,400","3,735,000","3,611,000","2,396,800"
Net Income from Continuing & Discontinued Operation,"416,100","482,100","427,900","326,800","307,500"
Normalized Income,"416,100","482,100","426,374","330,011","307,828"
Interest Income,"4,500","4,200","3,800","2,000","2,600"
Interest Expense,"58,900","45,900","42,400","44,700","28,400"
Net Interest Income,"-54,400","-41,700","-38,600","-42,700","-25,800"
EBIT,"573,800","653,200","603,400","532,800","497,300"
EBITDA,"765,800",-,-,-,-
Reconciled Cost of Revenue,"3,192,500","3,131,900","3,169,600","3,109,600","1,975,900"
Reconciled Depreciation,"192,000","172,600","163,500","141,200","84,400"
Net Income from Continuing Operation Net Minority Interest,"416,100","482,100","427,900","326,800","307,500"
Total Unusual Items Excluding Goodwill,-,-,"2,000","-4,800",-500
Total Unusual Items,-,-,"2,000","-4,800",-500
Normalized EBITDA,"765,800","825,800","764,900","678,800","582,200"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,474,"-1,589",-172
