Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"10,785,000","10,735,000","9,823,000","9,048,000","8,386,000"
Cost of Revenue,"3,192,000","3,116,000","2,813,000","2,593,000","2,424,000"
Gross Profit,"7,593,000","7,619,000","7,010,000","6,455,000","5,962,000"
Operating Expense,"6,045,000","5,879,000","5,351,000","4,924,000","4,643,000"
Operating Income,"1,548,000","1,740,000","1,659,000","1,531,000","1,319,000"
Net Non Operating Interest Income Expense,"-428,000","-443,000","-238,000","-224,000","-228,000"
Other Income Expense,"-870,000","-612,000","-1,000","-375,000","-914,000"
Pretax Income,"252,000","687,000","1,422,000","933,000","177,000"
Tax Provision,"-4,034,000","-4,013,000","-249,000","828,000","-170,000"
Net Income Common Stockholders,"4,287,000","4,700,000","1,671,000","104,000","347,000"
Diluted NI Available to Com Stockholders,"4,287,000","4,700,000","1,671,000","104,000","347,000"
Basic EPS,-,0.0034,0.0012,0,0
Diluted EPS,-,0.0033,0.0012,0,0
Basic Average Shares,-,"1,391,500","1,381,000","1,370,100","1,357,600"
Diluted Average Shares,-,"1,410,600","1,401,400","1,392,700","1,377,200"
Total Operating Income as Reported,"1,123,000","1,518,000","1,506,000","1,285,000","447,000"
Total Expenses,"9,237,000","8,995,000","8,164,000","7,517,000","7,067,000"
Net Income from Continuing & Discontinued Operation,"4,287,000","4,700,000","1,671,000","104,000","347,000"
Normalized Income,"4,917,720","5,146,030","1,661,510","315,800","890,600"
Interest Income,"24,000","30,000","3,000","5,000","5,000"
Interest Expense,"452,000","473,000","241,000","229,000","233,000"
Net Interest Income,"-428,000","-443,000","-238,000","-224,000","-228,000"
EBIT,"704,000","1,160,000","1,663,000","1,162,000","410,000"
EBITDA,"1,444,000",-,-,-,-
Reconciled Cost of Revenue,"3,192,000","2,804,000","2,518,000","2,314,000","2,154,000"
Reconciled Depreciation,"740,000","1,011,000","894,000","844,000","815,000"
Net Income from Continuing Operation Net Minority Interest,"4,287,000","4,700,000","1,671,000","104,000","347,000"
Total Unusual Items Excluding Goodwill,"-864,000","-611,000","13,000","-353,000","-906,000"
Total Unusual Items,"-864,000","-611,000","13,000","-353,000","-906,000"
Normalized EBITDA,"2,308,000","2,782,000","2,544,000","2,359,000","2,131,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-233,280","-164,970","3,510","-141,200","-362,400"
