Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,987,351","2,960,562","2,717,076","2,602,076","2,550,820"
Cost of Revenue,"1,098,649","1,094,400","1,022,604","962,036","921,234"
Gross Profit,"1,888,702","1,866,162","1,694,472","1,640,040","1,629,586"
Operating Expense,"819,733","818,541","767,371","731,262","799,632"
Operating Income,"990,271","1,047,621","927,101","908,778","829,954"
Net Non Operating Interest Income Expense,"-385,146","-393,778","-367,345","-368,698","-405,619"
Other Income Expense,"424,113","-1,844","152,807","14,738","65,036"
Pretax Income,"670,306","651,999","712,563","554,818","489,371"
Net Income Common Stockholders,"909,414","511,034","572,246","451,939","502,002"
Average Dilution Earnings,0,0,0,0,0
Diluted NI Available to Com Stockholders,"909,414","511,034","572,246","451,939","502,002"
Basic EPS,-,0.0033,0.0037,0.0029,0.0033
Diluted EPS,-,0.0033,0.0037,0.0029,0.0033
Basic Average Shares,-,"154,582","154,427","154,190","153,715"
Diluted Average Shares,-,"154,883","154,682","154,390","153,977"
Total Operating Income as Reported,-,-,"913,685","908,110","825,784"
Total Expenses,"1,918,382","1,912,941","1,789,975","1,693,298","1,720,866"
Net Income from Continuing & Discontinued Operation,"920,925","521,534","582,847","454,776","432,179"
Normalized Income,"528,907","556,892","472,920","452,672","398,002"
Interest Income,"18,203","18,939","10,823","5,783","7,230"
Interest Expense,"413,299","412,717","378,168","374,481","412,849"
Net Interest Income,"-395,096","-393,778","-367,345","-368,698","-405,619"
EBIT,"1,511,285","1,064,716","1,090,731","929,299","902,220"
EBITDA,"2,197,939",-,-,-,-
Reconciled Cost of Revenue,"1,096,259","1,091,988","1,022,604","962,036","921,234"
Reconciled Depreciation,"686,654","680,176","645,649","617,547","694,403"
Net Income from Continuing Operation Net Minority Interest,"920,925","521,534","582,847","454,776","432,179"
Total Unusual Items Excluding Goodwill,"378,103","-48,436","150,585","3,506","56,962"
Total Unusual Items,"378,103","-48,436","150,585","3,506","56,962"
Normalized EBITDA,"1,819,836","1,793,328","1,585,795","1,543,340","1,539,661"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"102,088","-13,078","40,658","1,402","22,785"
