Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Total Revenue,"10,094,700","9,538,400","7,938,300","7,826,900","11,642,900"
Cost of Revenue,"7,524,900","6,885,400","5,586,800","5,484,800","8,552,100"
Gross Profit,"2,854,800","2,653,000","2,351,500","2,342,100","3,090,800"
Operating Expense,"1,485,200","1,473,400","1,318,000","1,417,100","2,209,400"
Operating Income,"1,369,600","1,179,600","1,033,500","925,000","881,400"
Net Non Operating Interest Income Expense,"-492,700","-391,400","-158,700","-195,500","-297,800"
Other Income Expense,"42,600","35,100",-,-,-
Pretax Income,"919,500","823,300","874,800","729,500","583,600"
Tax Provision,"213,300","218,800","174,600","254,700","225,400"
Earnings from Equity Interest Net of Tax,"59,500","75,800","97,300","71,200","137,800"
Net Income Common Stockholders,"765,200","678,300","808,400","638,500","-681,800"
Diluted NI Available to Com Stockholders,"765,200","678,300","808,400","638,500","-681,800"
Basic EPS,-,0.0015,0.002,0.0015,-0.0016
Diluted EPS,-,0.0015,0.002,0.0015,-0.0016
Basic Average Shares,-,"444,000","403,900","431,900","434,400"
Diluted Average Shares,-,"445,600","407,400","436,000","438,500"
Total Expenses,"9,010,100","8,358,800","6,904,800","6,901,900","10,761,500"
Net Income from Continuing & Discontinued Operation,"765,200","678,300","808,400","639,300","-677,000"
Normalized Income,"765,200","680,200","794,100","537,300","484,900"
Interest Income,"4,100","6,800","3,800","3,700","1,300"
Interest Expense,"496,800","398,200","162,500","199,200","299,100"
Net Interest Income,"-492,700","-391,400","-158,700","-195,500","-297,800"
EBIT,"1,416,300","1,221,500","1,037,300","928,700","882,700"
EBITDA,"1,809,200",-,-,-,-
Reconciled Cost of Revenue,"7,524,900","6,885,400","5,586,800","5,484,800","8,552,100"
Reconciled Depreciation,"392,900","333,000","257,000","268,000","373,900"
Net Income from Continuing Operation Net Minority Interest,"765,200","680,200","794,100","537,300","484,900"
Normalized EBITDA,"1,809,200","1,554,500","1,294,300","1,196,700","1,256,600"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
