Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"153,586,000","145,534,000","136,809,000","129,976,000","121,546,000"
Cost of Revenue,"146,634,000","138,700,000","129,628,000","123,432,000","115,003,000"
Gross Profit,"6,952,000","6,834,000","7,181,000","6,544,000","6,543,000"
Operating Expense,"5,148,000","5,101,000","5,303,000","4,302,000","4,107,000"
Operating Income,"1,804,000","1,733,000","1,878,000","2,242,000","2,436,000"
Net Non Operating Interest Income Expense,"-256,000","-294,000","-329,000","-201,000","-178,000"
Other Income Expense,"-5,896,000","312,000","-1,777,000","-117,000","18,000"
Pretax Income,"-4,348,000","1,751,000","-228,000","1,924,000","2,276,000"
Tax Provision,"-193,000","386,000","-487,000","630,000","845,000"
Net Income Common Stockholders,"-4,158,000","1,363,000","256,000","1,288,000","1,427,000"
Diluted NI Available to Com Stockholders,"-4,158,000","1,363,000","256,000","1,288,000","1,427,000"
Basic EPS,-,0.0046,0,0.0041,0.0044
Diluted EPS,-,0.0045,0,0.004,0.0043
Basic Average Shares,-,"300,000","313,000","317,000","327,000"
Diluted Average Shares,-,"301,000","315,000","320,000","330,000"
Total Operating Income as Reported,"-4,060,000","2,060,000","126,000","2,120,000","2,459,000"
Total Expenses,"151,782,000","143,801,000","134,931,000","127,734,000","119,110,000"
Net Income from Continuing & Discontinued Operation,"-4,158,000","1,363,000","256,000","1,288,000","1,427,000"
Normalized Income,"1,454,308","1,108,267","1,536,420","1,370,106","1,412,533"
Interest Expense,"256,000","294,000","329,000","201,000","178,000"
Net Interest Income,"-256,000","-294,000","-329,000","-201,000","-178,000"
EBIT,"-4,092,000","2,045,000","101,000","2,125,000","2,454,000"
EBITDA,"-3,163,000",-,-,-,-
Reconciled Cost of Revenue,"146,253,000","138,321,000","129,303,000","123,242,000","114,821,000"
Reconciled Depreciation,"929,000","1,000,000","1,032,000","717,000","641,000"
Net Income from Continuing Operation Net Minority Interest,"-4,158,000","1,363,000","256,000","1,288,000","1,427,000"
Total Unusual Items Excluding Goodwill,"-5,873,000","327,000","-1,754,000","-122,000","23,000"
Total Unusual Items,"-5,873,000","327,000","-1,754,000","-122,000","23,000"
Normalized EBITDA,"2,710,000","2,718,000","2,887,000","2,964,000","3,072,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-260,692","72,267","-473,580","-39,894","8,533"
