Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"50,969,000","53,800,000","54,722,000","45,462,000","38,537,000"
Cost of Revenue,"35,632,000","37,384,000","37,719,000","31,695,000","28,905,000"
Gross Profit,"15,337,000","16,416,000","17,003,000","13,767,000","9,632,000"
Operating Expense,"7,850,000","8,126,000","8,710,000","9,361,000","8,539,000"
Operating Income,"7,487,000","8,290,000","8,293,000","4,406,000","1,093,000"
Net Non Operating Interest Income Expense,"-431,000","-421,000","-404,000","-531,000","-505,000"
Other Income Expense,"5,000","-57,000","-67,000","207,000","-449,000"
Pretax Income,"7,061,000","7,812,000","7,822,000","4,082,000","139,000"
Tax Provision,"1,784,000","1,746,000","1,698,000","3,339,000","192,000"
Earnings from Equity Interest Net of Tax,"26,000","28,000","24,000","16,000","-6,000"
Net Income Common Stockholders,"5,304,000","6,093,000","6,147,000","754,000","-67,000"
Diluted NI Available to Com Stockholders,"5,304,000","6,093,000","6,147,000","754,000","-67,000"
Basic EPS,-,0.0109,0.0104,0.0013,0
Diluted EPS,-,0.0107,0.0103,0.0013,0
Basic Average Shares,-,"561,600","591,400","591,800","584,300"
Diluted Average Shares,-,"567,500","599,400","599,300","584,300"
Total Operating Income as Reported,"7,487,000","8,290,000","8,293,000","4,406,000","498,000"
Total Expenses,"43,482,000","45,510,000","46,429,000","41,056,000","37,444,000"
Net Income from Continuing & Discontinued Operation,"5,304,000","6,093,000","6,147,000","754,000","-67,000"
Normalized Income,"5,303,253","5,937,800","6,173,565","684,592","251,600"
Interest Expense,"431,000","421,000","404,000","531,000","505,000"
Net Interest Income,"-431,000","-421,000","-404,000","-531,000","-505,000"
EBIT,"7,492,000","8,233,000","8,226,000","4,613,000","644,000"
EBITDA,"10,042,000",-,-,-,-
Reconciled Cost of Revenue,"35,632,000","37,384,000","37,719,000","31,695,000","28,905,000"
Reconciled Depreciation,"2,550,000","2,577,000","2,766,000","2,877,000","3,034,000"
Net Income from Continuing Operation Net Minority Interest,"5,304,000","6,093,000","6,147,000","754,000","-67,000"
Total Unusual Items Excluding Goodwill,"1,000","200,000","-35,000","96,000","-531,000"
Total Unusual Items,"1,000","200,000","-35,000","96,000","-531,000"
Normalized EBITDA,"10,041,000","10,610,000","11,027,000","7,394,000","4,209,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,252.6554,"44,800","-8,435","26,592","-212,400"
