Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,815,000","2,496,100","2,768,800","2,229,100","656,946"
Cost of Revenue,"1,600,300","1,359,200","1,551,900","1,233,500","77,953"
Gross Profit,"1,214,700","1,136,900","1,216,900","995,600","578,993"
Operating Expense,"550,600","551,200","587,500","539,300","280,793"
Operating Income,"664,100","585,700","629,400","456,300","298,200"
Net Non Operating Interest Income Expense,"-33,300","-35,900","-38,200","-41,300","-5,747"
Other Income Expense,"-39,700","-48,400","-20,000","-80,600","14,151"
Pretax Income,"591,100","501,400","571,200","334,400","306,604"
Tax Provision,"158,100","130,600","146,000","-66,200","120,884"
Net Income Common Stockholders,"435,100","372,700","422,100","396,700","184,945"
Diluted NI Available to Com Stockholders,"435,100","372,700","422,100","396,700","184,945"
Basic EPS,-,-,0.0038,0.0037,0.0023
Diluted EPS,-,-,0.0038,0.0037,0.0023
Basic Average Shares,-,-,"111,800","107,200","81,432"
Diluted Average Shares,-,-,"112,200","107,500","81,432"
Total Operating Income as Reported,"617,100","537,200","599,400","371,900","298,200"
Total Expenses,"2,150,900","1,910,400","2,139,400","1,772,800","358,746"
Net Income from Continuing & Discontinued Operation,"436,900","374,900","426,500","401,700","186,820"
Normalized Income,"471,329","410,790","448,820","452,340","178,244"
Interest Income,"2,100","1,900","2,300","1,300",-
Interest Expense,"33,800","36,200","38,700","39,600","5,747"
Net Interest Income,"-33,300","-35,900","-38,200","-41,300","-5,747"
EBIT,"624,900","537,600","609,900","374,000","312,351"
EBITDA,"794,800",-,-,-,-
Reconciled Cost of Revenue,"1,600,300","1,359,200","1,551,900","1,233,500","77,875"
Reconciled Depreciation,"169,900","176,600","204,000","192,200","44,455"
Net Income from Continuing Operation Net Minority Interest,"436,900","374,900","426,500","401,700","186,820"
Total Unusual Items Excluding Goodwill,"-47,000","-48,500","-30,000","-84,400","14,151"
Total Unusual Items,"-47,000","-48,500","-30,000","-84,400","14,151"
Normalized EBITDA,"841,800","762,700","843,900","650,600","342,655"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-12,571","-12,610","-7,680","-33,760","5,575"
