Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"23,068,432","23,894,091","21,340,088","14,209,608","13,071,589"
Cost of Revenue,"17,926,759","18,689,013","16,449,212","9,893,226","9,123,727"
Gross Profit,"5,141,673","5,205,078","4,890,876","4,316,382","3,947,862"
Operating Expense,"3,868,830","3,875,233","3,817,761","3,264,768","3,148,237"
Operating Income,"1,272,843","1,329,845","1,073,115","1,051,614","799,625"
Net Non Operating Interest Income Expense,"-90,270","-85,754","-98,685","-126,961","-136,800"
Other Income Expense,"135,726","117,254","404,576","239,440","217,901"
Pretax Income,"1,318,299","1,361,345","1,379,006","1,164,093","880,726"
Tax Provision,"271,479","69,895","313,058","466,147","296,662"
Net Income Common Stockholders,"1,038,534","1,282,357","1,063,219","691,479","571,973"
Diluted NI Available to Com Stockholders,"1,038,534","1,282,357","1,063,219","691,479","571,973"
Basic EPS,-,-,0.0031,0.002,0.0017
Diluted EPS,-,-,0.0031,0.002,0.0017
Basic Average Shares,-,-,"339,321","337,658","335,415"
Diluted Average Shares,-,-,"343,123","340,784","338,425"
Total Operating Income as Reported,"1,205,381","1,259,875","1,087,989","1,071,442","815,487"
Total Expenses,"21,795,589","22,564,246","20,266,973","13,157,994","12,271,964"
Net Income from Continuing & Discontinued Operation,"1,038,534","1,282,357","1,063,219","691,479","571,973"
Normalized Income,"1,094,174","1,351,234","1,073,312","679,582","561,504"
Interest Income,-,-,"8,585","9,853","8,051"
Interest Expense,"80,578","85,754","107,270","136,814","144,851"
Net Interest Income,"-90,270","-85,754","-98,685","-126,961","-136,800"
EBIT,"1,686,004","1,447,099","1,486,276","1,300,907","1,025,577"
EBITDA,"2,126,806",-,-,-,-
Reconciled Cost of Revenue,"17,926,759","18,689,013","16,449,212","9,893,226","9,123,727"
Reconciled Depreciation,"440,802","439,224","451,988","406,114","366,927"
Net Income from Continuing Operation Net Minority Interest,"1,038,534","1,282,357","1,063,219","691,479","571,973"
Total Unusual Items Excluding Goodwill,"-70,070","-72,578","-13,108","19,828","15,862"
Total Unusual Items,"-70,070","-72,578","-13,108","19,828","15,862"
Normalized EBITDA,"2,196,876","1,958,901","1,951,372","1,687,193","1,376,642"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-14,430","-3,701","-3,015","7,931","5,393"
