Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"34,007,000","34,186,000","32,717,000","32,243,000","31,469,000"
Total Expenses,"29,519,000","28,937,000","28,060,000","28,521,000","26,519,000"
Pretax Income,"4,488,000","5,249,000","4,657,000","3,722,000","4,950,000"
Tax Provision,"822,000","795,000","695,000","-139,000","815,000"
Net Income Common Stockholders,"3,666,000","4,454,000","3,962,000","3,861,000","4,135,000"
Diluted NI Available to Com Stockholders,"3,666,000","4,454,000","3,962,000","3,861,000","4,135,000"
Basic EPS,-,0.0099,0.0086,0.0083,0.0089
Diluted EPS,-,0.0097,0.0085,0.0082,0.0089
Basic Average Shares,-,"451,972","463,629","467,146","462,520"
Diluted Average Shares,-,"458,900","466,802","471,197","465,949"
Net Income from Continuing & Discontinued Operation,"3,666,000","4,454,000","3,962,000","3,861,000","4,135,000"
Normalized Income,"3,682,337","4,473,527","4,012,209","4,133,124","4,547,490"
EBIT,"5,032,000","5,801,000","5,298,000","4,329,000","5,555,000"
Reconciled Depreciation,"302,000","305,000","339,000","260,000","1,559,000"
Net Income from Continuing Operation Net Minority Interest,"3,666,000","4,454,000","3,962,000","3,861,000","4,135,000"
Total Unusual Items Excluding Goodwill,"-20,000","-23,000","-59,000","-360,000","-494,000"
Total Unusual Items,"-20,000","-23,000","-59,000","-360,000","-494,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-3,663","-3,473","-8,791","-87,876","-81,510"
Interest Expense,"544,000","552,000","641,000","607,000","605,000"
