Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,377,534","2,336,319","2,138,022","1,943,032","1,816,083"
Cost of Revenue,"270,235","266,357","258,747","237,390","256,492"
Gross Profit,"2,107,299","2,069,962","1,879,275","1,705,642","1,559,591"
Operating Expense,"1,596,305","1,569,545","1,471,977","1,372,281","1,273,735"
Operating Income,"510,994","500,417","407,298","333,361","285,856"
Net Non Operating Interest Income Expense,"-8,566","-9,320","-15,069","-21,785","-20,753"
Other Income Expense,"-21,526","-12,129","-15,839","3,470","-27,950"
Pretax Income,"480,902","478,968","376,390","315,046","237,153"
Tax Provision,"-511,510","-510,011","30,613","110,945","34,067"
Net Income Common Stockholders,"992,412","988,979","345,777","204,101","203,086"
Diluted NI Available to Com Stockholders,"992,412","988,979","345,777","204,101","203,086"
Basic EPS,-,0.0036,0.0013,0,0
Diluted EPS,-,0.0035,0.0012,0,0
Basic Average Shares,-,"273,239","273,729","272,097","284,502"
Diluted Average Shares,-,"280,515","281,144","280,221","291,256"
Total Operating Income as Reported,"502,751","491,796","396,209","323,955","244,901"
Total Expenses,"1,866,540","1,835,902","1,730,724","1,609,671","1,530,227"
Net Income from Continuing & Discontinued Operation,"992,412","988,979","345,777","204,101","203,086"
Normalized Income,"997,358","997,315","359,900","201,980","227,420"
Interest Income,-,"9,509","8,070","3,879","2,917"
Interest Expense,"18,075","18,829","23,139","25,664","23,670"
Net Interest Income,"-8,566","-9,320","-15,069","-21,785","-20,753"
EBIT,"498,977","497,797","399,529","340,710","260,823"
EBITDA,"625,274",-,-,-,-
Reconciled Cost of Revenue,"156,964","155,134","154,112","136,582","154,999"
Reconciled Depreciation,"126,297","123,351","118,721","115,524","119,588"
Net Income from Continuing Operation Net Minority Interest,"992,412","988,979","345,777","204,101","203,086"
Total Unusual Items Excluding Goodwill,"-8,243","-11,419","-15,368","3,273","-28,427"
Total Unusual Items,"-8,243","-11,419","-15,368","3,273","-28,427"
Normalized EBITDA,"633,517","632,567","533,618","452,961","408,838"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-3,297","-3,083","-1,245","1,152","-4,093"
