Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"18,463,700","18,032,400","16,240,500","15,191,500","13,981,900"
Cost of Revenue,"15,339,400","14,992,500","13,533,600","12,741,600","11,654,700"
Gross Profit,"3,124,300","3,039,900","2,706,900","2,449,900","2,327,200"
Operating Expense,"1,973,800","1,906,300","1,719,600","1,583,800","1,508,000"
Operating Income,"1,150,500","1,133,600","987,300","866,100","819,200"
Net Non Operating Interest Income Expense,"-159,000","-159,400","-148,600","-150,500","-146,500"
Other Income Expense,"-21,600","-24,500","1,800","-55,300",-300
Pretax Income,"969,900","949,700","840,500","660,300","672,400"
Tax Provision,"218,100","212,900","197,500","137,300","248,000"
Net Income Common Stockholders,"751,800","736,800","643,000","523,000","424,400"
Diluted NI Available to Com Stockholders,"751,800","736,800","643,000","523,000","424,400"
Basic EPS,-,-,0.0043,0.0034,0.0026
Diluted EPS,-,-,0.0042,0.0033,0.0026
Basic Average Shares,-,-,"150,900","155,400","163,600"
Diluted Average Shares,-,-,"153,600","158,200","166,000"
Total Operating Income as Reported,"1,150,500","1,133,600","987,300","866,100","819,200"
Total Expenses,"17,313,200","16,898,800","15,253,200","14,325,400","13,162,700"
Net Income from Continuing & Discontinued Operation,"751,800","736,800","643,000","523,000","424,400"
Normalized Income,"751,800","736,800","643,000","568,461","425,725"
Interest Expense,"159,000","159,400","148,600","150,500","146,500"
Net Interest Income,"-159,000","-159,400","-148,600","-150,500","-146,500"
EBIT,"1,128,900","1,109,100","989,100","810,800","818,900"
EBITDA,"1,423,100",-,-,-,-
Reconciled Cost of Revenue,"15,339,400","14,992,500","13,533,600","12,741,600","11,654,700"
Reconciled Depreciation,"294,200","267,100","265,600","260,900","254,500"
Net Income from Continuing Operation Net Minority Interest,"751,800","736,800","643,000","523,000","424,400"
Total Unusual Items Excluding Goodwill,-,-,0,"-57,400","-2,100"
Total Unusual Items,-,-,0,"-57,400","-2,100"
Normalized EBITDA,"1,423,100","1,376,200","1,254,700","1,129,100","1,075,500"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,"-11,939",-774.9
