Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,070,000","6,297,000","7,155,000","6,140,000","5,389,000"
Cost of Revenue,"4,569,000","4,691,000","5,183,000","4,625,000","3,984,000"
Gross Profit,"1,501,000","1,606,000","1,972,000","1,515,000","1,405,000"
Operating Expense,"589,000","574,000","642,000","548,000","503,000"
Operating Income,"912,000","1,032,000","1,330,000","967,000","902,000"
Net Non Operating Interest Income Expense,"-109,000","-113,000","-120,000","-120,000","-124,000"
Other Income Expense,"92,000","69,000","300,000","228,000","252,000"
Pretax Income,"895,000","988,000","1,510,000","1,075,000","1,030,000"
Tax Provision,"143,000","124,000","292,000","213,000","122,000"
Net Income Common Stockholders,"733,000","852,000","1,207,000","843,000","900,000"
Diluted NI Available to Com Stockholders,"733,000","852,000","1,207,000","843,000","900,000"
Basic EPS,-,0.0069,0.009,0.0061,0.0062
Diluted EPS,-,0.0068,0.0089,0.0061,0.0062
Basic Average Shares,-,"123,900","134,300","137,900","144,939"
Diluted Average Shares,-,"124,700","135,400","138,300","145,668"
Total Operating Income as Reported,"708,000","834,000","1,334,000","901,000","893,000"
Total Expenses,"5,158,000","5,265,000","5,825,000","5,173,000","4,487,000"
Net Income from Continuing & Discontinued Operation,"733,000","852,000","1,207,000","843,000","900,000"
Normalized Income,"645,013","931,950","1,113,990","822,400","814,880"
Interest Income,"7,000","6,000","6,000","2,000","2,000"
Interest Expense,"112,000","115,000","125,000","122,000","120,000"
Net Interest Income,"-109,000","-113,000","-120,000","-120,000","-124,000"
EBIT,"1,007,000","1,103,000","1,635,000","1,197,000","1,150,000"
EBITDA,"1,365,000",-,-,-,-
Reconciled Cost of Revenue,"4,234,000","4,359,000","4,858,000","4,335,000","3,698,000"
Reconciled Depreciation,"358,000","356,000","349,000","310,000","295,000"
Net Income from Continuing Operation Net Minority Interest,"745,000","858,000","1,212,000","856,000","902,000"
Total Unusual Items Excluding Goodwill,"119,000","-85,000","121,000","42,000","99,000"
Total Unusual Items,"119,000","-85,000","121,000","42,000","99,000"
Normalized EBITDA,"1,246,000","1,544,000","1,863,000","1,465,000","1,346,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"19,013","-11,050","22,990","8,400","11,880"
