Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,037,000","5,993,000","5,681,000","5,303,000","4,878,000"
Credit Losses Provision,"-908,000","-393,000","-326,000","-321,000","-369,000"
Non Interest Expense,"3,093,000","3,047,000","2,957,000","2,819,000","2,729,000"
Other Non Operating Income Expenses,"-306,000","-302,000","-215,000","-251,000","-246,000"
Pretax Income,"1,730,000","2,251,000","2,183,000","1,912,000","1,534,000"
Tax Provision,"344,000","460,000","462,000","260,000","489,000"
Net Income Common Stockholders,"1,306,000","1,718,000","1,692,000","1,638,000","1,031,000"
Diluted NI Available to Com Stockholders,"1,306,000","1,718,000","1,692,000","1,638,000","1,031,000"
Basic EPS,-,0.0038,0.0035,0.0033,0.002
Diluted EPS,-,0.0038,0.0035,0.0033,0.002
Basic Average Shares,-,"449,731","478,822","502,157","522,094"
Diluted Average Shares,-,"451,214","480,431","503,685","523,931"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"3,706,000","4,221,000","4,206,000","3,852,000","3,389,000"
Net Income from Continuing & Discontinued Operation,"1,386,000","1,791,000","1,721,000","1,652,000","1,045,000"
Normalized Income,"1,386,000","1,791,000","1,721,000","1,652,000","1,045,000"
Total Money Market Investments,"27,000","30,000","29,000","18,000","8,000"
Reconciled Depreciation,"703,000","633,000","489,000","502,000","523,000"
Net Income from Continuing Operation Net Minority Interest,"1,386,000","1,791,000","1,721,000","1,652,000","1,045,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
