Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,478,200","4,357,700","4,145,900","3,776,200","3,493,100"
Cost of Revenue,"2,433,000","2,373,700","2,305,100","2,046,600","1,902,500"
Gross Profit,"2,045,200","1,984,000","1,840,800","1,729,600","1,590,600"
Operating Expense,"1,131,200","1,143,800","1,049,100","996,900","866,400"
Operating Income,"914,000","840,200","791,700","732,700","724,200"
Net Non Operating Interest Income Expense,"-72,100","-73,600","-79,400","-52,600","-27,700"
Other Income Expense,"6,100","7,100","7,200","12,600","9,400"
Pretax Income,"848,000","773,700","719,500","692,700","705,900"
Tax Provision,"178,000","157,800","150,900","-50,700","246,900"
Net Income Common Stockholders,"670,000","615,900","568,600","743,400","459,000"
Diluted NI Available to Com Stockholders,"670,000","615,900","568,600","743,400","459,000"
Basic EPS,-,-,0.0023,0.003,0.0018
Diluted EPS,-,-,0.0023,0.0029,0.0018
Basic Average Shares,-,-,"245,500","250,600","257,600"
Diluted Average Shares,-,-,"250,700","256,100","262,100"
Total Operating Income as Reported,"914,000","840,200","791,700","732,700","724,200"
Total Expenses,"3,564,200","3,517,500","3,354,200","3,043,500","2,768,900"
Net Income from Continuing & Discontinued Operation,"670,000","615,900","568,600","743,400","459,000"
Normalized Income,"669,052","614,626","567,099","741,453","457,895"
Interest Expense,"72,100","73,600","79,400","52,600","27,700"
Net Interest Income,"-72,100","-73,600","-79,400","-52,600","-27,700"
EBIT,"920,100","847,300","798,900","745,300","733,600"
EBITDA,"1,104,100",-,-,-,-
Reconciled Cost of Revenue,"2,433,000","2,373,700","2,305,100","2,046,600","1,902,500"
Reconciled Depreciation,"184,000","176,400","141,100","125,400","107,600"
Net Income from Continuing Operation Net Minority Interest,"670,000","615,900","568,600","743,400","459,000"
Total Unusual Items Excluding Goodwill,"1,200","1,600","1,900","2,100","1,700"
Total Unusual Items,"1,200","1,600","1,900","2,100","1,700"
Normalized EBITDA,"1,102,900","1,022,100","938,100","868,600","839,500"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,251.8868,326.4,399,153.3,595
