Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"46,296,000","45,764,000","43,634,000","41,581,000","29,003,000"
Cost of Revenue,"29,420,000","29,224,000","27,860,000","26,541,000","18,655,000"
Gross Profit,"16,876,000","16,540,000","15,774,000","15,040,000","10,348,000"
Operating Expense,"9,873,000","9,926,000","10,318,000","10,588,000","6,008,000"
Operating Income,"7,003,000","6,614,000","5,456,000","4,452,000","4,340,000"
Net Non Operating Interest Income Expense,"-3,852,000","-3,797,000","-3,540,000","-3,090,000","-2,499,000"
Other Income Expense,"-660,000","-386,000","-230,000","-334,000","-1,021,000"
Pretax Income,"2,491,000","2,431,000","1,686,000","1,028,000","820,000"
Tax Provision,"349,000","439,000","180,000","-9,087,000","-2,925,000"
Net Income Common Stockholders,"1,811,000","1,668,000","1,230,000","9,895,000","3,522,000"
Diluted NI Available to Com Stockholders,"1,811,000","1,668,000","1,230,000","9,895,000","3,522,000"
Basic EPS,-,-,0.0053,0.0385,0.0171
Diluted EPS,-,-,0.0052,0.0341,0.0159
Basic Average Shares,-,-,"232,357","256,721","206,539"
Diluted Average Shares,-,-,"235,525","296,704","234,791"
Total Operating Income as Reported,"6,888,000","6,511,000","5,221,000","4,106,000","3,355,000"
Total Expenses,"39,293,000","39,150,000","38,178,000","37,129,000","24,663,000"
Net Income from Continuing & Discontinued Operation,"1,811,000","1,668,000","1,230,000","9,895,000","3,522,000"
Normalized Income,"2,306,300","1,817,134","1,538,167","10,085,200","4,126,200"
Interest Expense,"3,852,000","3,797,000","3,540,000","3,090,000","2,499,000"
Net Interest Income,"-3,852,000","-3,797,000","-3,540,000","-3,090,000","-2,499,000"
EBIT,"6,343,000","6,228,000","5,226,000","4,118,000","3,319,000"
EBITDA,"16,216,000",-,-,-,-
Reconciled Cost of Revenue,"29,420,000","29,224,000","27,860,000","26,541,000","18,655,000"
Reconciled Depreciation,"9,873,000","9,926,000","10,318,000","10,588,000","6,907,000"
Net Income from Continuing Operation Net Minority Interest,"1,811,000","1,668,000","1,230,000","9,895,000","3,522,000"
Total Unusual Items Excluding Goodwill,"-576,000","-182,000","-345,000","-317,000","-1,007,000"
Total Unusual Items,"-576,000","-182,000","-345,000","-317,000","-1,007,000"
Normalized EBITDA,"16,792,000","16,336,000","15,889,000","15,023,000","11,233,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-80,700","-32,866","-36,833","-126,800","-402,800"
