Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,924,000","7,924,000","5,407,000","5,732,000","5,449,000"
Total Expenses,"5,452,000","5,452,000","5,156,000","5,002,000","4,637,000"
Pretax Income,"2,472,000","2,472,000","251,000","730,000","812,000"
Tax Provision,"475,000","475,000","-36,000","-315,000","221,000"
Net Income Common Stockholders,"1,997,000","1,997,000","287,000","1,045,000","591,000"
Diluted NI Available to Com Stockholders,"1,997,000","1,997,000","287,000","1,045,000","591,000"
Basic EPS,-,0.0122,0.0018,0.0064,0.0036
Diluted EPS,-,0.0121,0.0018,0.0063,0.0035
Basic Average Shares,-,"163,154","163,068","164,308","164,624"
Diluted Average Shares,-,"165,100","164,500","166,000","166,500"
Net Income from Continuing & Discontinued Operation,"1,997,000","1,997,000","287,000","1,045,000","591,000"
Normalized Income,"1,997,000","1,997,000","287,000","1,045,000","591,000"
EBIT,"2,525,000","2,525,000","304,000","783,000","865,000"
Reconciled Depreciation,"72,000","72,000","63,000","55,000","48,000"
Net Income from Continuing Operation Net Minority Interest,"1,997,000","1,997,000","287,000","1,045,000","591,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
Interest Expense,"53,000","53,000","53,000","53,000","53,000"
