Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"6,365,000","6,214,000","6,124,000","5,973,000","5,761,000"
Cost of Revenue,"3,497,000","3,486,000","3,449,000","3,302,000","3,163,000"
Gross Profit,"2,868,000","2,728,000","2,675,000","2,671,000","2,598,000"
Operating Expense,"1,693,000","1,621,000","1,550,000","1,554,000","1,542,000"
Operating Income,"1,175,000","1,107,000","1,125,000","1,117,000","1,056,000"
Net Non Operating Interest Income Expense,"-96,000","-94,000","-79,000","-84,000","-83,000"
Other Income Expense,"3,000","11,000","8,000","-6,000","10,000"
Pretax Income,"1,082,000","1,024,000","1,054,000","1,033,000","983,000"
Tax Provision,"212,000","204,000","231,000","330,000","335,000"
Net Income Common Stockholders,"870,000","820,000","823,000","701,000","648,000"
Diluted NI Available to Com Stockholders,"870,000","820,000","823,000","701,000","648,000"
Basic EPS,-,0.0064,0.0064,0.0054,0.005
Diluted EPS,-,0.0063,0.0063,0.0053,0.0049
Basic Average Shares,-,"127,734","129,293","128,953","129,472"
Diluted Average Shares,-,"129,792","131,581","131,566","131,717"
Total Expenses,"5,190,000","5,107,000","4,999,000","4,856,000","4,705,000"
Net Income from Continuing & Discontinued Operation,"870,000","820,000","823,000","701,000","648,000"
Normalized Income,"870,000","825,614","829,256","710,491","654,590"
Interest Income,-,"3,000","6,000","4,000","5,000"
Interest Expense,"99,000","97,000","85,000","88,000","88,000"
Net Interest Income,"-96,000","-94,000","-79,000","-84,000","-83,000"
EBIT,"1,181,000","1,121,000","1,139,000","1,121,000","1,071,000"
EBITDA,"1,361,000",-,-,-,-
Reconciled Cost of Revenue,"3,497,000","3,323,000","3,294,000","3,149,000","3,006,000"
Reconciled Depreciation,"180,000","180,000","166,000","163,000","165,000"
Net Income from Continuing Operation Net Minority Interest,"870,000","820,000","823,000","703,000","648,000"
Total Unusual Items Excluding Goodwill,-,"-7,000","-8,000","-11,000","-10,000"
Total Unusual Items,-,"-7,000","-8,000","-11,000","-10,000"
Normalized EBITDA,"1,361,000","1,308,000","1,313,000","1,295,000","1,246,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-1,386","-1,744","-3,509","-3,410"
