Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,210,500","4,868,000","4,309,400","3,644,700","3,595,200"
Cost of Revenue,"1,254,400","1,274,300","955,500","781,700","783,000"
Gross Profit,"3,956,100","3,593,700","3,353,900","2,863,000","2,812,200"
Operating Expense,"1,039,400","1,005,900","746,300","551,000","609,500"
Operating Income,"2,916,700","2,587,800","2,607,600","2,312,000","2,202,700"
Net Non Operating Interest Income Expense,"-170,800","-178,000","-157,700","-117,000","-123,500"
Other Income Expense,"292,800","279,800","327,900","331,300","208,400"
Pretax Income,"3,038,700","2,689,600","2,777,800","2,526,300","2,287,600"
Tax Provision,"652,000","573,800","814,100","-1,537,100","753,500"
Net Income Common Stockholders,"2,385,800","2,116,500","1,962,200","4,063,400","1,534,100"
Diluted NI Available to Com Stockholders,"2,385,800","2,116,500","1,962,200","4,063,400","1,534,100"
Basic EPS,-,0.0059,0.0057,0.012,0.0046
Diluted EPS,-,0.0059,0.0057,0.0119,0.0045
Basic Average Shares,-,"357,155","342,344","338,707","337,496"
Diluted Average Shares,-,"358,239","343,737","340,226","338,966"
Total Operating Income as Reported,"2,916,700","2,587,800","2,607,600","2,312,000","2,202,700"
Rent Expense Supplemental,-,-,-,"80,200","86,700"
Total Expenses,"2,293,800","2,280,200","1,701,800","1,332,700","1,392,500"
Net Income from Continuing & Discontinued Operation,"2,385,800","2,116,500","1,962,200","4,063,400","1,534,100"
Normalized Income,"1,949,805","1,614,473","1,435,414","3,744,380","1,438,952"
Interest Expense,"170,800","178,000","157,700","117,000","123,500"
Net Interest Income,"-170,800","-178,000","-157,700","-117,000","-123,500"
EBIT,"3,209,500","2,867,600","2,935,500","2,643,300","2,411,100"
EBITDA,"3,681,800",-,-,-,-
Reconciled Cost of Revenue,"1,254,400","1,274,300","955,500","781,700","783,000"
Reconciled Depreciation,"472,300","473,300","248,700","208,500","225,300"
Net Income from Continuing Operation Net Minority Interest,"2,385,800","2,116,500","1,962,200","4,063,400","1,534,100"
Total Unusual Items Excluding Goodwill,"555,100","637,900","745,100","531,700","141,800"
Total Unusual Items,"555,100","637,900","745,100","531,700","141,800"
Normalized EBITDA,"3,126,700","2,703,000","2,439,100","2,320,100","2,494,600"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"119,105","135,873","218,314","212,680","46,652"
