Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,688,924","5,586,369","4,864,985","4,476,412","3,904,384"
Cost of Revenue,"4,572,062","4,443,879","3,953,993","3,720,196","3,406,170"
Gross Profit,"1,116,862","1,142,490","910,992","756,216","498,214"
Operating Expense,"686,456","675,438","585,985","472,077","439,770"
Operating Income,"430,406","467,052","325,007","284,139","58,444"
Net Non Operating Interest Income Expense,"13,941","14,327","10,068","4,949","4,172"
Other Income Expense,"-25,488","-23,094","-66,639","-13,345","-23,877"
Pretax Income,"418,859","458,285","268,436","275,743","38,739"
Tax Provision,"80,445","108,127","91,883","99,490","15,801"
Net Income Common Stockholders,"338,414","350,158","176,553","176,253","22,938"
Diluted NI Available to Com Stockholders,"338,414","350,158","176,553","176,253","22,938"
Basic EPS,-,0.0126,0.0064,0.0062,0
Diluted EPS,-,0.0124,0.0063,0.0062,0
Basic Average Shares,-,"27,740","27,823","28,491","29,265"
Diluted Average Shares,-,"28,295","27,962","28,561","29,770"
Total Operating Income as Reported,"404,918","443,958","258,368","270,794","34,567"
Rent Expense Supplemental,"369,581","363,072","347,123","327,132","293,636"
Total Expenses,"5,258,518","5,119,317","4,539,978","4,192,273","3,845,940"
Net Income from Continuing & Discontinued Operation,"338,414","350,158","176,553","176,253","22,938"
Normalized Income,"359,007","367,802","220,401","184,780","37,264"
Net Interest Income,"13,941","14,327","10,068","4,949","4,172"
EBIT,"430,406","467,052","325,007","284,139","58,444"
EBITDA,"816,585",-,-,-,-
Reconciled Cost of Revenue,"4,403,254","4,279,927","3,953,993","3,720,196","3,406,170"
Reconciled Depreciation,"386,179","376,730","201,979","163,348","146,368"
Net Income from Continuing Operation Net Minority Interest,"338,414","350,158","176,553","176,253","22,938"
Total Unusual Items Excluding Goodwill,"-25,488","-23,094","-66,639","-13,345","-23,877"
Total Unusual Items,"-25,488","-23,094","-66,639","-13,345","-23,877"
Normalized EBITDA,"842,073","866,876","593,625","460,832","228,689"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-4,895","-5,450","-22,791","-4,818","-9,551"
