Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,650,000","6,845,000","6,873,000","6,583,000","6,399,000"
Cost of Revenue,"4,281,000","4,281,000","4,475,000","4,080,000","4,010,000"
Gross Profit,"2,599,000","2,564,000","2,398,000","2,503,000","2,389,000"
Operating Expense,"1,325,000","1,325,000","1,236,000","1,165,000","1,092,000"
Operating Income,"1,239,000","1,239,000","1,162,000","1,338,000","1,297,000"
Net Non Operating Interest Income Expense,"-512,000","-512,000","-447,000","-426,000","-429,000"
Other Income Expense,"102,000","102,000","59,000","-26,000","-42,000"
Pretax Income,"829,000","829,000","774,000","886,000","826,000"
Tax Provision,"147,000","147,000","115,000","424,000","273,000"
Net Income Common Stockholders,"680,000","680,000","657,000","460,000","551,000"
Diluted NI Available to Com Stockholders,"710,000","680,000","657,000","460,000","551,000"
Basic EPS,-,0.0024,0.0023,0.0016,0.002
Diluted EPS,-,0.0024,0.0023,0.0016,0.002
Basic Average Shares,-,"283,000","282,200","280,000","278,000"
Diluted Average Shares,-,"284,300","282,900","280,800","279,000"
Total Operating Income as Reported,"1,239,000","1,239,000","1,162,000","1,338,000","1,297,000"
Total Expenses,"5,606,000","5,606,000","5,711,000","5,245,000","5,102,000"
Interest Income,"14,000","7,000","11,000","12,000","6,000"
Interest Expense,"535,000","519,000","458,000","438,000","435,000"
Net Interest Income,"-512,000","-512,000","-447,000","-426,000","-429,000"
Net Income from Continuing & Discontinued Operation,"680,000","680,000","657,000","460,000","551,000"
Normalized Income,"671,770","680,000","657,000","457,000","551,000"
EBIT,"1,373,000","1,348,000","1,232,000","1,324,000","1,261,000"
EBITDA,"2,340,000",-,-,-,-
Reconciled Cost of Revenue,"4,281,000","4,281,000","4,475,000","4,080,000","4,010,000"
Reconciled Depreciation,"992,000","992,000","933,000","881,000","811,000"
Net Income from Continuing Operation Net Minority Interest,"680,000","680,000","657,000","460,000","551,000"
Total Unusual Items Excluding Goodwill,"10,000","10,000","6,000","5,000","12,000"
Total Unusual Items,"10,000","10,000","6,000","5,000","12,000"
Normalized EBITDA,"2,330,000","2,340,000","2,165,000","2,200,000","2,072,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,"2,000",0
