Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"82,220,000","74,639,000","60,116,000","48,382,000","40,607,000"
Cost of Revenue,"72,926,000","65,796,000","52,404,000","42,581,000","35,524,000"
Gross Profit,"9,294,000","8,843,000","7,712,000","5,801,000","5,083,000"
Operating Expense,"7,667,000","6,791,000","6,254,000","4,602,000","3,823,000"
Operating Income,"1,627,000","2,052,000","1,458,000","1,199,000","1,260,000"
Net Non Operating Interest Income Expense,"-493,000","-412,000","-343,000","-255,000","-217,000"
Other Income Expense,"94,000","142,000","253,000","190,000","114,000"
Pretax Income,"1,228,000","1,782,000","1,368,000","1,134,000","1,157,000"
Tax Provision,"392,000","473,000","474,000","326,000","599,000"
Net Income Common Stockholders,"845,000","1,321,000","900,000","828,000","562,000"
Diluted NI Available to Com Stockholders,"845,000","1,321,000","900,000","828,000","562,000"
Basic EPS,-,0.0032,0.0023,0.0024,0.0018
Diluted EPS,-,0.0031,0.0023,0.0023,0.0017
Basic Average Shares,-,"413,487","390,248","345,000","319,135"
Diluted Average Shares,-,"420,409","398,506","353,092","327,951"
Total Operating Income as Reported,"1,284,000","1,781,000","1,458,000","1,199,000","1,260,000"
Total Expenses,"80,593,000","72,587,000","58,658,000","47,183,000","39,347,000"
Net Income from Continuing & Discontinued Operation,"845,000","1,321,000","900,000","828,000","562,000"
Normalized Income,"781,007","1,216,630","734,538","692,530","490,600"
Interest Expense,"493,000","412,000","343,000","255,000","217,000"
Net Interest Income,"-493,000","-412,000","-343,000","-255,000","-217,000"
EBIT,"1,721,000","2,194,000","1,711,000","1,389,000","1,374,000"
EBITDA,"2,497,000",-,-,-,-
Reconciled Cost of Revenue,"72,509,000","65,411,000","52,120,000","42,376,000","35,393,000"
Reconciled Depreciation,"776,000","643,000","495,000","361,000","278,000"
Net Income from Continuing Operation Net Minority Interest,"845,000","1,321,000","900,000","828,000","559,000"
Total Unusual Items Excluding Goodwill,"94,000","142,000","253,000","190,000","114,000"
Total Unusual Items,"94,000","142,000","253,000","190,000","114,000"
Normalized EBITDA,"2,403,000","2,695,000","1,953,000","1,560,000","1,538,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"30,007","37,630","87,538","54,530","45,600"
