Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"12,239,000","12,301,000","10,589,000","9,614,000","7,528,000"
Cost of Revenue,"9,017,000","9,262,000","8,109,000","7,115,000","5,059,000"
Gross Profit,"3,222,000","3,039,000","2,480,000","2,499,000","2,469,000"
Operating Expense,"1,757,000","1,765,000","1,649,000","1,427,000","1,510,000"
Operating Income,"1,465,000","1,274,000","831,000","1,072,000","959,000"
Net Non Operating Interest Income Expense,"-594,000","-567,000","-420,000","-390,000","-429,000"
Other Income Expense,"-1,499,000","222,000","103,000","381,000","156,000"
Pretax Income,"-628,000","929,000","514,000","1,063,000","686,000"
Tax Provision,"-223,000","138,000","146,000","-729,000","254,000"
Net Income Common Stockholders,"-694,000","674,000","333,000","1,792,000","432,000"
Average Dilution Earnings,-,-,0,-,-
Diluted NI Available to Com Stockholders,"-694,000","674,000","333,000","1,792,000","432,000"
Basic EPS,-,0.0013,0,0.0042,0.001
Diluted EPS,-,0.0013,0,0.0041,0.001
Basic Average Shares,-,"502,000","448,829","430,964","430,606"
Diluted Average Shares,-,"505,000","452,465","434,308","433,603"
Total Operating Income as Reported,"1,232,000","1,226,000","831,000","1,072,000","959,000"
Total Expenses,"10,774,000","11,027,000","9,758,000","8,542,000","6,569,000"
Interest Income,-,"22,000",-,-,-
Interest Expense,"581,000","567,000","420,000","390,000","429,000"
Net Interest Income,"-594,000","-567,000","-420,000","-390,000","-429,000"
Net Income from Continuing & Discontinued Operation,"-577,000","791,000","368,000","1,792,000","432,000"
Normalized Income,"-244,419","840,300","550,880","1,758,400","486,810"
EBIT,"-47,000","1,496,000","934,000","1,453,000","1,115,000"
EBITDA,"1,238,000",-,-,-,-
Reconciled Cost of Revenue,"9,001,000","9,238,000","8,109,000","7,115,000","5,059,000"
Reconciled Depreciation,"1,285,000","1,311,000","1,243,000","1,036,000","1,126,000"
Net Income from Continuing Operation Net Minority Interest,"-405,000","791,000","368,000","1,792,000","432,000"
Total Unusual Items Excluding Goodwill,"-249,000","-58,000","-254,000","56,000","-87,000"
Total Unusual Items,"-249,000","-58,000","-254,000","56,000","-87,000"
Normalized EBITDA,"1,487,000","2,865,000","2,431,000","2,433,000","2,328,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-88,419","-8,700","-71,120","22,400","-32,190"
