Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"27,999,000","27,831,000","27,173,000","26,247,000","24,648,000"
Credit Losses Provision,"-9,966,000","-6,236,000","-5,856,000","-7,551,000","-6,459,000"
Non Interest Expense,"14,422,000","14,338,000","13,635,000","12,870,000","12,374,000"
Special Income Charges,"-359,000","-383,000","-364,000","-334,000","-331,000"
Pretax Income,"3,252,000","6,874,000","7,318,000","5,492,000","5,484,000"
Tax Provision,"469,000","1,341,000","1,293,000","3,375,000","1,714,000"
Net Income Common Stockholders,"2,424,000","5,192,000","5,710,000","1,704,000","3,513,000"
Diluted NI Available to Com Stockholders,"2,424,000","5,192,000","5,710,000","1,704,000","3,513,000"
Basic EPS,-,0.0111,0.0119,0.0035,0.007
Diluted EPS,-,0.0111,0.0118,0.0035,0.0069
Basic Average Shares,-,"467,600","479,900","484,200","504,900"
Diluted Average Shares,-,"469,900","483,100","488,600","509,800"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"13,608,000","17,104,000","17,019,000","14,909,000","14,414,000"
Net Income from Continuing & Discontinued Operation,"2,794,000","5,546,000","6,015,000","1,982,000","3,751,000"
Normalized Income,"3,090,225","5,841,315","6,324,572","2,317,400","3,997,397"
Reconciled Depreciation,"3,528,000","3,339,000","2,396,000","2,440,000","2,428,000"
Net Income from Continuing Operation Net Minority Interest,"2,783,000","5,533,000","6,025,000","2,117,000","3,770,000"
Total Unusual Items Excluding Goodwill,"-359,000","-383,000","-364,000","-334,000","-331,000"
Total Unusual Items,"-359,000","-383,000","-364,000","-334,000","-331,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-51,775","-74,685","-64,428","-133,600","-103,603"
