Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"29,575,000","32,567,000","36,417,000","29,106,000","23,693,000"
Cost of Revenue,"22,007,000","23,254,000","25,463,000","24,493,000","24,723,000"
Gross Profit,"7,568,000","9,313,000","10,954,000","4,613,000","-1,030,000"
Operating Expense,"1,606,000","1,709,000","1,742,000","1,891,000","3,179,000"
Operating Income,"5,962,000","7,604,000","9,212,000","2,722,000","-4,209,000"
Net Non Operating Interest Income Expense,"-581,000","-612,000","-638,000","-986,000","-1,188,000"
Other Income Expense,"-107,000","2,532,000","1,399,000","-4,351,000","-133,000"
Pretax Income,"5,274,000","9,524,000","9,973,000","-2,615,000","-5,530,000"
Tax Provision,"1,574,000","2,267,000","3,668,000","-1,822,000","-1,971,000"
Net Income Common Stockholders,"3,617,000","7,189,000","6,257,000","-855,000","-3,615,000"
Diluted NI Available to Com Stockholders,"3,617,000","7,189,000","6,257,000","-855,000","-3,615,000"
Basic EPS,-,0.0064,0.0054,0,-0.0029
Diluted EPS,-,0.0064,0.0053,0,-0.0029
Basic Average Shares,-,"1,117,260","1,166,499","1,221,038","1,245,440"
Diluted Average Shares,-,"1,123,536","1,175,538","1,221,038","1,245,440"
Total Expenses,"23,613,000","24,963,000","27,205,000","26,384,000","27,902,000"
Interest Income,-,"166,000","97,000","112,000","57,000"
Interest Expense,"747,000","778,000","735,000","1,098,000","1,245,000"
Net Interest Income,"-581,000","-612,000","-638,000","-986,000","-1,188,000"
Net Income from Continuing & Discontinued Operation,"3,617,000","7,189,000","6,257,000","-855,000","-3,615,000"
Normalized Income,"2,447,508","5,555,272","5,591,504","1,820,400","-3,769,560"
EBIT,"6,021,000","10,302,000","10,708,000","-1,517,000","-4,285,000"
EBITDA,"11,976,000",-,-,-,-
Reconciled Cost of Revenue,"22,007,000","23,254,000","25,463,000","24,493,000","24,723,000"
Reconciled Depreciation,"5,955,000","6,090,000","5,956,000","6,845,000","9,062,000"
Net Income from Continuing Operation Net Minority Interest,"3,617,000","7,189,000","6,257,000","-855,000","-3,615,000"
Total Unusual Items Excluding Goodwill,"1,667,000","2,144,000","1,053,000","-4,459,000","240,000"
Total Unusual Items,"1,667,000","2,144,000","1,053,000","-4,459,000","240,000"
Normalized EBITDA,"10,309,000","14,248,000","15,611,000","9,787,000","4,537,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"497,508","510,272","387,504","-1,783,600","85,440"
