Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Total Revenue,"2,222,499","2,041,957","1,805,695","1,447,981","1,268,449"
Cost of Revenue,"1,222,509","1,143,615","1,043,329","815,953","723,863"
Gross Profit,"999,990","898,342","762,366","632,028","544,586"
Operating Expense,"196,804","181,867","176,890","151,364","138,116"
Operating Income,"803,186","716,475","585,476","480,664","406,470"
Net Non Operating Interest Income Expense,"-18,323","-17,585","-19,075","-22,373","-22,157"
Other Income Expense,"1,163","6,061","-3,890","-18,191","11,552"
Pretax Income,"786,026","704,951","562,511","440,100","395,865"
Tax Provision,"98,156","113,258","144,504","45,839","125,505"
Net Income Common Stockholders,"687,870","591,693","417,867","394,227","270,360"
Diluted NI Available to Com Stockholders,"687,870","591,693","417,867","394,227","270,360"
Basic EPS,-,0.0026,0.0018,0.0017,0.0012
Diluted EPS,-,0.0025,0.0017,0.0017,0.0011
Basic Average Shares,-,"230,489","231,793","228,686","228,846"
Diluted Average Shares,-,"240,453","241,877","237,019","244,294"
Total Operating Income as Reported,"803,186","716,475","584,345","461,299","406,470"
Total Expenses,"1,419,313","1,325,482","1,220,219","967,317","861,979"
Net Income from Continuing & Discontinued Operation,"687,870","591,693","417,867","394,227","270,360"
Normalized Income,"687,870","591,693","418,707","411,578","270,360"
Interest Income,-,"2,225","1,293","1,406","1,449"
Interest Expense,"18,670","19,810","20,368","23,779","23,606"
Net Interest Income,"-18,323","-17,585","-19,075","-22,373","-22,157"
EBIT,"804,696","724,761","582,879","463,879","419,471"
EBITDA,"903,077",-,-,-,-
Reconciled Cost of Revenue,"1,222,509","1,143,615","1,043,329","815,953","723,863"
Reconciled Depreciation,"98,381","85,334","79,040","57,441","49,643"
Net Income from Continuing Operation Net Minority Interest,"687,870","591,693","417,867","394,227","270,360"
Total Unusual Items Excluding Goodwill,-,0,"-1,131","-19,365",-
Total Unusual Items,-,0,"-1,131","-19,365",-
Normalized EBITDA,"903,077","810,095","663,050","540,685","469,114"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,-290.667,"-2,014",0
