Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,779,000","11,937,000","12,250,000","11,408,000","11,069,000"
Cost of Revenue,"6,946,000","7,063,000","7,477,000","7,635,000","7,680,000"
Gross Profit,"4,833,000","4,874,000","4,773,000","3,773,000","3,389,000"
Operating Income,"4,833,000","4,874,000","4,773,000","3,773,000","3,389,000"
Net Non Operating Interest Income Expense,"-698,000","-689,000","-607,000","-533,000","-569,000"
Other Income Expense,"130,000","131,000","138,000","-98,000","-79,000"
Pretax Income,"4,265,000","4,316,000","4,304,000","3,142,000","2,741,000"
Tax Provision,"998,000","985,000","995,000","-2,329,000","1,027,000"
Net Income Common Stockholders,"3,267,000","3,331,000","3,308,000","5,470,000","1,713,000"
Diluted NI Available to Com Stockholders,"3,267,000","3,331,000","3,308,000","5,470,000","1,713,000"
Basic EPS,-,0.0043,0.004,0.0061,0.0018
Diluted EPS,-,0.0042,0.0038,0.006,0.0018
Basic Average Shares,-,"773,000","818,000","890,000","928,000"
Diluted Average Shares,-,"798,000","861,000","914,000","948,000"
Total Operating Income as Reported,"4,924,000","4,965,000","4,869,000","3,667,000","3,389,000"
Rent Expense Supplemental,"401,000","408,000","395,000","429,000","438,000"
Total Expenses,"6,946,000","7,063,000","7,477,000","7,635,000","7,680,000"
Interest Income,-,"48,000","32,000","13,000","10,000"
Interest Expense,"746,000","737,000","639,000","546,000","579,000"
Net Interest Income,"-698,000","-689,000","-607,000","-533,000","-569,000"
Net Income from Continuing & Discontinued Operation,"3,267,000","3,331,000","3,309,000","5,471,000","1,714,000"
Normalized Income,"3,267,000","3,331,000","3,309,000","5,666,000","1,769,000"
EBIT,"5,011,000","5,053,000","4,943,000","3,688,000","3,320,000"
EBITDA,"6,374,000",-,-,-,-
Reconciled Cost of Revenue,"6,946,000","7,063,000","7,477,000","7,635,000","7,680,000"
Reconciled Depreciation,"1,363,000","1,349,000","1,331,000","1,315,000","1,301,000"
Net Income from Continuing Operation Net Minority Interest,"3,267,000","3,331,000","3,309,000","5,471,000","1,714,000"
Total Unusual Items Excluding Goodwill,-,0,0,"-325,000","-88,000"
Total Unusual Items,-,0,0,"-325,000","-88,000"
Normalized EBITDA,"6,374,000","6,402,000","6,274,000","5,328,000","4,709,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,"-130,000","-33,000"
